N EXPEDIENTE,FECHA,HORA,DATE,HORA INTERVALO,CALLE 1,AUX-CALLE 1,CALLE 2,AUX-CALLE 2,NUMERO,CRUCE LABEL,URI-CRUCE,DISTRITO,URI-DISTRITO-Wikidata,URI-DISTRITO,TIPO ACCIDENTE,URI-TIPO ACCIDENTE,ESTADO METEREOLÓGICO,TIPO VEHÍCULO,URI-TIPO VEHÍCULO,TIPO PERSONA,URI-TIPO PERSONA,RANGO DE EDAD,SEXO,URI-SEXO,URI-PERSONA,LESIVIDAD,PERSONA LABEL
2020S000090,01/01/2020,14:10,2020-01-01T14:10:00Z,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,PLAZA.GRECIA-AVDA.LUISARAGONES,plaza-grecia%avda-luis-aragones,San Blas,https://www.wikidata.org/wiki/Q2001937,san-blas-canillejas,Alcance,alcance,Despejado,Turismo,turismo,Conductor,conductor,45-49,Hombre,hombre,hombre%45-49,,Hombre entre 45 y 49 años
2020S000090,01/01/2020,14:10,2020-01-01T14:10:00Z,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,PLAZA.GRECIA-AVDA.LUISARAGONES,plaza-grecia%avda-luis-aragones,San Blas,https://www.wikidata.org/wiki/Q2001937,san-blas-canillejas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,45-49,Mujer,mujer,mujer%45-49,,Mujer entre 45 y 49 años
2020S000090,01/01/2020,14:10,2020-01-01T14:10:00Z,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,PLAZA.GRECIA-AVDA.LUISARAGONES,plaza-grecia%avda-luis-aragones,San Blas,https://www.wikidata.org/wiki/Q2001937,san-blas-canillejas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,,Hombre,hombre,hombre,,Hombre
2020S000090,01/01/2020,14:10,2020-01-01T14:10:00Z,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,PLAZA.GRECIA-AVDA.LUISARAGONES,plaza-grecia%avda-luis-aragones,San Blas,https://www.wikidata.org/wiki/Q2001937,san-blas-canillejas,Alcance,alcance,Despejado,Turismo,turismo,Pasajero,pasajero,,Hombre,hombre,hombre,,Hombre
2020S000090,01/01/2020,14:10,2020-01-01T14:10:00Z,14:00-14:59,PLAZA. GRECIA,plaza-grecia,AVDA. LUIS ARAGONES,avda-luis-aragones,,PLAZA.GRECIA-AVDA.LUISARAGONES,plaza-grecia%avda-luis-aragones,San Blas,https://www.wikidata.org/wiki/Q2001937,san-blas-canillejas,Alcance,alcance,Despejado,Turismo,turismo,Conductor,conductor,,,,,,
2020S000045,01/01/2020,13:00,2020-01-01T13:00:00Z,13:00-13:59,AVDA. ALBUFERA,avda-albufera,,,67,AVDA. ALBUFERA  - 67,avda-albufera%67,Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,puente-de-vallecas,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,,Turismo,turismo,Conductor,conductor,40-44,Hombre,hombre,hombre%40-44,,Hombre entre 40 y 44 años
2020S000047,01/01/2020,12:39,2020-01-01T12:39:00Z,12:00-12:59,CALL. ANSAR,call-ansar,,,82,CALL. ANSAR  - 82,call-ansar%82,Latina,https://www.wikidata.org/wiki/Q794954,latina,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,Despejado,Turismo,turismo,Conductor,conductor,18-20,Hombre,hombre,hombre%18-20%14,14,Hombre entre 18 y 20 años
2020S000198,01/01/2020,12:25,2020-01-01T12:25:00Z,12:00-12:59,AVDA. CIUDAD DE BARCELONA,avda-ciudad-de-barcelona,,,10,AVDA. CIUDAD DE BARCELONA  - 10,avda-ciudad-de-barcelona%10,Retiro,https://www.wikidata.org/wiki/Q2002296,retiro,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,Despejado,Turismo,turismo,Conductor,conductor,65-69,Hombre,hombre,hombre%65-69%7,7,Hombre entre 65 y 69 años
2020S000198,01/01/2020,12:25,2020-01-01T12:25:00Z,12:00-12:59,AVDA. CIUDAD DE BARCELONA,avda-ciudad-de-barcelona,,,10,AVDA. CIUDAD DE BARCELONA  - 10,avda-ciudad-de-barcelona%10,Retiro,https://www.wikidata.org/wiki/Q2002296,retiro,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,Despejado,Turismo,turismo,Pasajero,pasajero,35-39,Mujer,mujer,mujer%35-39%7,7,Mujer entre 35 y 39 años
2020S000206,01/01/2020,12:00,2020-01-01T12:00:00Z,12:00-12:59,TRVA. COSTA BRAVA,trva-costa-brava,CALL. COSTA BRAVA,call-costa-brava,,TRVA.COSTABRAVA-CALL.COSTABRAVA,trva-costa-brava%call-costa-brava,Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,fuencarral-el-pardo,Choque contra obstáculo fijo,choque-contra-obstáculo-fijo,Despejado,Turismo,turismo,Conductor,conductor,45-49,Mujer,mujer,mujer%45-49,,Mujer entre 45 y 49 años
