PARQUE,ParqueURI,ESPECIE,EspecieURI,UNIDADES 2019
Parque Juan Carlos I,ParqueJuanCarlosI,Otros,Otros,6539
Parque Juan Pablo Ii,ParqueJuanPabloIi,Aesculus hippocastanum,AesculusHippocastanum,133
Parque Juan Pablo Ii,ParqueJuanPabloIi,Pinus pinea,PinusPinea,123
Parque Juan Pablo Ii,ParqueJuanPabloIi,Celtis australis,CeltisAustralis,104
Parque Juan Pablo Ii,ParqueJuanPabloIi,Morus alba,MorusAlba,100
Parque Juan Pablo Ii,ParqueJuanPabloIi,Liquidambar styraciflua,LiquidambarStyraciflua,80
Parque Juan Pablo Ii,ParqueJuanPabloIi,Gleditsia triacanthos,GleditsiaTriacanthos,66
Parque Juan Pablo Ii,ParqueJuanPabloIi,Prunus dulcis,PrunusDulcis,63
Parque Juan Pablo Ii,ParqueJuanPabloIi,Trachycarpus fortunei,TrachycarpusFortunei,58
Parque Juan Pablo Ii,ParqueJuanPabloIi,Punica granatum,PunicaGranatum,47
Parque Juan Pablo Ii,ParqueJuanPabloIi,Tilia platyphyllos,TiliaPlatyphyllos,46
Parque Juan Pablo Ii,ParqueJuanPabloIi,Otros,Otros,788
Madrid Río,MadridRío,Pinus pinea,PinusPinea,3094
Madrid Río,MadridRío,Pinus halepensis,PinusHalepensis,2776
Madrid Río,MadridRío,Platanus hybrida,PlatanusHybrida,1481
Madrid Río,MadridRío,Acer x freemanii,AcerXFreemanii,694
Madrid Río,MadridRío,Populus nigra,PopulusNigra,687
Madrid Río,MadridRío,Aesculus hippocastanum,AesculusHippocastanum,534
Madrid Río,MadridRío,Melia azedarach,MeliaAzedarach,504
Madrid Río,MadridRío,Fraxinus angustifolia,FraxinusAngustifolia,448
Madrid Río,MadridRío,Ginkgo biloba,GinkgoBiloba,434
Madrid Río,MadridRío,Tilia platyphyllos,TiliaPlatyphyllos,414
Madrid Río,MadridRío,Otros,Otros,4727
Quinta De Los Molinos,QuintaDeLosMolinos,Prunus dulcis,PrunusDulcis,1674
Quinta De Los Molinos,QuintaDeLosMolinos,Pinus halepensis,PinusHalepensis,1313
Quinta De Los Molinos,QuintaDeLosMolinos,Cupressus sempervirens,CupressusSempervirens,609
Quinta De Los Molinos,QuintaDeLosMolinos,Pinus pinea,PinusPinea,462
Quinta De Los Molinos,QuintaDeLosMolinos,Eucalyptus sp,EucalyptusSp,401
Quinta De Los Molinos,QuintaDeLosMolinos,Platanus x hybrida,PlatanusXHybrida,277
Quinta De Los Molinos,QuintaDeLosMolinos,Ulmus sp,UlmusSp,253
Quinta De Los Molinos,QuintaDeLosMolinos,Cedrus deodara,CedrusDeodara,249
Quinta De Los Molinos,QuintaDeLosMolinos,Gleditsia triacanthos,GleditsiaTriacanthos,220
Quinta De Los Molinos,QuintaDeLosMolinos,Ligustrum japonicum,LigustrumJaponicum,178
Quinta De Los Molinos,QuintaDeLosMolinos,Otros,Otros,1503
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Pinus pinea,PinusPinea,1205
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Sophora japonica,SophoraJaponica,830
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Platanus x hybrida,PlatanusXHybrida,627
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Ligustrum japonicum,LigustrumJaponicum,508
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Pinus halepensis,PinusHalepensis,372
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Populus alba 'bolleana',PopulusAlba'bolleana',369
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Cedrus deodara,CedrusDeodara,357
