PARQUE,wikidataPARQUE,ESPECIE,wikidataESPECIE,UNIDADES,PARQUEURI,ARBOLURI
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Prunus cerasifera var. pissardii,https://www.wikidata.org/wiki/Q6089457,7,RosaledaMadrid,PrunusC
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Thuja occidentalis,https://www.wikidata.org/wiki/Q147468,7,RosaledaMadrid,ThujaO
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Populus alba,https://www.wikidata.org/wiki/Q146269,5,RosaledaMadrid,PopulusA
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Ligustrum japonicum,https://www.wikidata.org/wiki/Q1209219,3,RosaledaMadrid,LigustrumJ
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Quercus robur,https://www.wikidata.org/wiki/Q165145,3,RosaledaMadrid,QuercusR
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Betula utilis,https://www.wikidata.org/wiki/Q930814,2,RosaledaMadrid,BetulaU
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Cedrus libani,https://www.wikidata.org/wiki/Q61105,2,RosaledaMadrid,CedrusL
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Cedrus atlantica 'Glauca Pendula',https://www.wikidata.org/wiki/Q20667332,2,RosaledaMadrid,CedrusAGlauca
Parque del Oeste,https://www.wikidata.org/wiki/Q2369398,Other,https://www.wikidata.org/wiki/Q86630688,11,RosaledaMadrid,
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,127,PlazaOrienteCaboNovalLepanto,PlatanusH
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Ligustrum lucidum,https://www.wikidata.org/wiki/Q732933,39,PlazaOrienteCaboNovalLepanto,LigustrumL
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,33,PlazaOrienteCaboNovalLepanto,CupressusS
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Taxus baccata,https://www.wikidata.org/wiki/Q179729,30,PlazaOrienteCaboNovalLepanto,TaxusB
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Magnolia grandiflora,https://www.wikidata.org/wiki/Q161116,9,PlazaOrienteCaboNovalLepanto,MagnoliaG
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,8,PlazaOrienteCaboNovalLepanto,CedrusD
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Cupressus macrocarpa,https://www.wikidata.org/wiki/Q1137183,7,PlazaOrienteCaboNovalLepanto,CupressusM
Plaza de Oriente,https://www.wikidata.org/wiki/Q2193218,Pinus halepensis,https://www.wikidata.org/wiki/Q211457,1,PlazaOrienteCaboNovalLepanto,PinusH
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Populus nigra,https://www.wikidata.org/wiki/Q147064,3961,ParqueManzanares,PopulusN
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Pinus pinea,https://www.wikidata.org/wiki/Q106094,3143,ParqueManzanares,PinusP
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Celtis australis,https://www.wikidata.org/wiki/Q255375,2105,ParqueManzanares,CeltisA
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,1128,ParqueManzanares,FraxinusA
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Platanus hybrida,https://www.wikidata.org/wiki/Q59420135,634,ParqueManzanares,PlatanusH
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Olea europaea,https://www.wikidata.org/wiki/Q37083,499,ParqueManzanares,OleaE
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Salix alba,https://www.wikidata.org/wiki/Q156918,446,ParqueManzanares,SalixA
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,409,ParqueManzanares,CupressusS
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Tilia platyphyllos,https://www.wikidata.org/wiki/Q156831,271,ParqueManzanares,TiliaP
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Gleditsia triacanthos,https://www.wikidata.org/wiki/Q157650,250,ParqueManzanares,GleditsiaT
