"p","callret-1"
"http://es.dbpedia.org/property/sobrino",1
"http://es.dbpedia.org/property/selección",3
"http://es.dbpedia.org/property/patidoPolítico",1
"http://es.dbpedia.org/property/seiyu",5
"http://es.dbpedia.org/property/fondo",1
"http://es.dbpedia.org/property/nombreDeCompleto",1
"http://es.dbpedia.org/property/blog",3
"http://es.dbpedia.org/property/wikinoticias",1
"http://es.dbpedia.org/property/servicioMilitar",3
"http://es.dbpedia.org/property/cabecera",11
"http://es.dbpedia.org/property/ciudadanía",13
"http://es.dbpedia.org/property/leyenda",1
"http://es.dbpedia.org/property/tamañoDeFoto",2
"http://es.dbpedia.org/property/tíaAbuela",1
"http://es.dbpedia.org/property/hermanas",1
"http://es.dbpedia.org/property/alineación",1
"http://es.dbpedia.org/property/hanja",45
"http://dbpedia.org/ontology/religion",219
"http://es.dbpedia.org/property/hangul",51
"http://es.dbpedia.org/property/vicegobernadora",4
"http://es.dbpedia.org/property/clubActual",1
"http://es.dbpedia.org/property/name",33
"http://es.dbpedia.org/property/volgende",2
"http://es.dbpedia.org/property/date",142
"http://es.dbpedia.org/property/imdbId",2
"http://es.dbpedia.org/property/fechaDeNacimiento",1070
"http://es.dbpedia.org/property/postscript",2
"http://es.dbpedia.org/property/nombreReal",1
"http://es.dbpedia.org/property/lijst",2
"http://es.dbpedia.org/property/fechaDeLaMuerte",2
"http://es.dbpedia.org/property/publicationPlace",3
"http://es.dbpedia.org/property/lugarDeEntierro",13
"http://es.dbpedia.org/property/exCargo",1
"http://es.dbpedia.org/property/citaCélebre",1
"http://es.dbpedia.org/property/sitioInternet",1
"http://es.dbpedia.org/property/editor2Last",11
"http://dbpedia.org/ontology/wikiPageInterLanguageLink",11
"http://dbpedia.org/ontology/wikiPageRevisionID",22781
"http://es.dbpedia.org/property/material",1
"http://es.dbpedia.org/property/lugaDeNacimiento",1
"http://es.dbpedia.org/property/unidad",61
"http://es.dbpedia.org/property/premiosGoya",2
"http://es.dbpedia.org/property/1ps",1
"http://es.dbpedia.org/property/descripciónImagen",1
"http://es.dbpedia.org/property/rango",147
"http://es.dbpedia.org/property/wstitle",3
"http://es.dbpedia.org/property/presidenciaDe",1
"http://es.dbpedia.org/property/lbl",2
"http://es.dbpedia.org/property/list",15
"http://es.dbpedia.org/property/origen",3
"http://es.dbpedia.org/property/religíon",1
"http://es.dbpedia.org/property/linkedin",3
"http://es.dbpedia.org/property/causaDeLaMuerte",2
"http://es.dbpedia.org/property/sucesor",26739
"http://es.dbpedia.org/property/conocidoPor",31
"http://xmlns.com/foaf/0.1/topic",3505
"http://es.dbpedia.org/property/others",4
"http://es.dbpedia.org/property/conyuge",55
"http://es.dbpedia.org/property/red",1
"http://es.dbpedia.org/property/webSite",1
"http://es.dbpedia.org/property/topic",1
"http://es.dbpedia.org/property/instituciónDeTrabajo",2
"http://es.dbpedia.org/property/escudoAlmaMáter",1
"http://es.dbpedia.org/property/derogación",3
"http://es.dbpedia.org/property/diputados",2
"http://es.dbpedia.org/property/predecesora",372
"http://es.dbpedia.org/property/editor1First",14
"http://es.dbpedia.org/property/oficina",2
"http://es.dbpedia.org/property/z",1
"http://es.dbpedia.org/property/pages",30
"http://es.dbpedia.org/property/mados",1
"http://es.dbpedia.org/property/educadoEn",3
"http://es.dbpedia.org/property/assesinado",1
"http://es.dbpedia.org/property/contribution",3
"http://es.dbpedia.org/property/piefoto",1
"http://es.dbpedia.org/property/pSon30ieimagen",1
"http://es.dbpedia.org/property/first",245
"http://es.dbpedia.org/property/birthDate",3
"http://es.dbpedia.org/property/label",4
"http://es.dbpedia.org/property/hijos/as",1
"http://es.dbpedia.org/property/w",30
"http://dbpedia.org/ontology/birthPlace",7509
"http://es.dbpedia.org/property/booktitle",1
"http://es.dbpedia.org/property/porcentajeParticipación",2
"http://es.dbpedia.org/property/alto",4
"http://es.dbpedia.org/property/zona",1
"http://es.dbpedia.org/property/inicio",2225
"http://es.dbpedia.org/property/alineaciónTexto",4
"http://es.dbpedia.org/property/hermano",9
"http://es.dbpedia.org/property/títuloPartidos",3
"http://es.dbpedia.org/property/enOficina",1
"http://es.dbpedia.org/property/enlaceeditor",2
"http://es.dbpedia.org/property/situciónPenal",1
"http://es.dbpedia.org/property/lugarDeNac",1
"http://www.w3.org/2002/07/owl#sameAs",8756
"http://es.dbpedia.org/property/formación",3
"http://es.dbpedia.org/property/pmid",4
"http://es.dbpedia.org/property/presidente",1887
"http://es.dbpedia.org/property/startpage",2
"http://es.dbpedia.org/property/kEtiqueta",1
"http://es.dbpedia.org/property/lugarmuerte",658
"http://es.dbpedia.org/property/author2First",1
"http://es.dbpedia.org/property/afiliación",1
"http://es.dbpedia.org/property/nacionalidates",1
"http://es.dbpedia.org/property/apodo",382
"http://es.dbpedia.org/property/artículo",2
"http://es.dbpedia.org/property/esposo",2
"http://es.dbpedia.org/property/religión",258
"http://es.dbpedia.org/property/pareja",96
"http://es.dbpedia.org/property/editor2First",13
"http://es.dbpedia.org/property/oficios",1
"http://es.dbpedia.org/property/nacionalidad(es)_",2
"http://es.dbpedia.org/property/revista",105
"http://es.dbpedia.org/property/consejero",2
"http://es.dbpedia.org/property/apellido",1585
"http://es.dbpedia.org/property/añoDebut",6
"http://es.dbpedia.org/property/tiempo",12
"http://es.dbpedia.org/property/abr",1
"http://es.dbpedia.org/property/fechadef",3
"http://es.dbpedia.org/property/votosEnBlanco",1
"http://es.dbpedia.org/property/nome",2
"http://es.dbpedia.org/property/separadorAutores",3
"http://es.dbpedia.org/property/fondoDeTítulo",1
