District,Neighbourhood,Place,PlaceURI,Availability,AvailabilityURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
HORTALEZA,VALDEFUENTES,HORTALEZA VALDEFUENTES,HORTALEZAVALDEFUENTES,AVAILABILITY HORTALEZA VALDEFUENTES,AVAILABILITYHORTALEZAVALDEFUENTES,29,29,29,12,0,29,30,0,24,0,0,0,0,0
VILLAVERDE,SAN ANDRÉS,VILLAVERDE SAN ANDRÉS,VILLAVERDESANANDRÉS,AVAILABILITY VILLAVERDE SAN ANDRÉS,AVAILABILITYVILLAVERDESANANDRÉS,0,0,0,8,0,0,0,0,72,0,0,0,0,0
VILLAVERDE,SAN CRISTÓBAL,VILLAVERDE SAN CRISTÓBAL,VILLAVERDESANCRISTÓBAL,AVAILABILITY VILLAVERDE SAN CRISTÓBAL,AVAILABILITYVILLAVERDESANCRISTÓBAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0
VILLAVERDE,BUTARQUE,VILLAVERDE BUTARQUE,VILLAVERDEBUTARQUE,AVAILABILITY VILLAVERDE BUTARQUE,AVAILABILITYVILLAVERDEBUTARQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VILLAVERDE,LOS ROSALES,VILLAVERDE LOS ROSALES,VILLAVERDELOSROSALES,AVAILABILITY VILLAVERDE LOS ROSALES,AVAILABILITYVILLAVERDELOSROSALES,0,0,0,6,0,0,20,0,14,0,0,0,0,0
VILLAVERDE,LOS ÁNGELES,VILLAVERDE LOS ÁNGELES,VILLAVERDELOSÁNGELES,AVAILABILITY VILLAVERDE LOS ÁNGELES,AVAILABILITYVILLAVERDELOSÁNGELES,0,0,0,6,0,0,22,0,18,0,0,0,0,0
VILLA DE VALLECAS,CASCO HISTÓRICO DE VALLECAS,VILLA DE VALLECAS CASCO HISTÓRICO DE VALLECAS,VILLADEVALLECASCASCOHISTÓRICODEVALLECAS,AVAILABILITY VILLA DE VALLECAS CASCO HISTÓRICO DE VALLECAS,AVAILABILITYVILLADEVALLECASCASCOHISTÓRICODEVALLECAS,0,0,0,20,0,0,0,0,85,0,0,0,0,0
VILLA DE VALLECAS,SANTA EUGENIA,VILLA DE VALLECAS SANTA EUGENIA,VILLADEVALLECASSANTAEUGENIA,AVAILABILITY VILLA DE VALLECAS SANTA EUGENIA,AVAILABILITYVILLADEVALLECASSANTAEUGENIA,0,0,0,4,0,0,12,0,8,0,0,0,0,0
VICÁLVARO,CASCO HISTÓRICO DE VICÁLVARO,VICÁLVARO CASCO HISTÓRICO DE VICÁLVARO,VICÁLVAROCASCOHISTÓRICODEVICÁLVARO,AVAILABILITY VICÁLVARO CASCO HISTÓRICO DE VICÁLVARO,AVAILABILITYVICÁLVAROCASCOHISTÓRICODEVICÁLVARO,0,0,0,20,0,0,68,0,48,0,0,0,0,0
VICÁLVARO,AMBROZ,VICÁLVARO AMBROZ,VICÁLVAROAMBROZ,AVAILABILITY VICÁLVARO AMBROZ,AVAILABILITYVICÁLVAROAMBROZ,0,0,0,6,0,0,0,0,9,0,0,0,0,0
SAN BLAS-CANILLEJAS,SIMANCAS,SAN BLAS-CANILLEJAS SIMANCAS,SANBLAS-CANILLEJASSIMANCAS,AVAILABILITY SAN BLAS-CANILLEJAS SIMANCAS,AVAILABILITYSANBLAS-CANILLEJASSIMANCAS,0,0,0,6,0,11,4,0,6,0,0,0,11,0
SAN BLAS-CANILLEJAS,HELLÍN,SAN BLAS-CANILLEJAS HELLÍN,SANBLAS-CANILLEJASHELLÍN,AVAILABILITY SAN BLAS-CANILLEJAS HELLÍN,AVAILABILITYSANBLAS-CANILLEJASHELLÍN,0,0,0,3,0,0,2,0,2,5,0,0,5,0
SAN BLAS-CANILLEJAS,AMPOSTA,SAN BLAS-CANILLEJAS AMPOSTA,SANBLAS-CANILLEJASAMPOSTA,AVAILABILITY SAN BLAS-CANILLEJAS AMPOSTA,AVAILABILITYSANBLAS-CANILLEJASAMPOSTA,0,0,0,2,0,0,1,0,1,2,0,0,2,0
SAN BLAS-CANILLEJAS,ARCOS,SAN BLAS-CANILLEJAS ARCOS,SANBLAS-CANILLEJASARCOS,AVAILABILITY SAN BLAS-CANILLEJAS ARCOS,AVAILABILITYSANBLAS-CANILLEJASARCOS,0,0,0,4,0,0,10,0,5,0,0,0,5,0
SAN BLAS-CANILLEJAS,ROSAS,SAN BLAS-CANILLEJAS ROSAS,SANBLAS-CANILLEJASROSAS,AVAILABILITY SAN BLAS-CANILLEJAS ROSAS,AVAILABILITYSANBLAS-CANILLEJASROSAS,0,0,0,6,0,0,9,0,5,0,0,0,9,0
SAN BLAS-CANILLEJAS,REJAS,SAN BLAS-CANILLEJAS REJAS,SANBLAS-CANILLEJASREJAS,AVAILABILITY SAN BLAS-CANILLEJAS REJAS,AVAILABILITYSANBLAS-CANILLEJASREJAS,0,0,0,0,0,0,0,0,0,34,0,0,0,0
SAN BLAS-CANILLEJAS,CANILLEJAS,SAN BLAS-CANILLEJAS CANILLEJAS,SANBLAS-CANILLEJASCANILLEJAS,AVAILABILITY SAN BLAS-CANILLEJAS CANILLEJAS,AVAILABILITYSANBLAS-CANILLEJASCANILLEJAS,0,0,0,6,0,11,4,0,7,0,0,0,11,0
SAN BLAS-CANILLEJAS,EL SALVADOR,SAN BLAS-CANILLEJAS EL SALVADOR,SANBLAS-CANILLEJASELSALVADOR,AVAILABILITY SAN BLAS-CANILLEJAS EL SALVADOR,AVAILABILITYSANBLAS-CANILLEJASELSALVADOR,0,0,0,6,0,7,0,0,5,0,0,0,7,0
BARAJAS,ALAMEDA DE OSUNA,BARAJAS ALAMEDA DE OSUNA,BARAJASALAMEDADEOSUNA,AVAILABILITY BARAJAS ALAMEDA DE OSUNA,AVAILABILITYBARAJASALAMEDADEOSUNA,0,0,0,6,0,12,12,0,12,0,0,0,0,0
BARAJAS,AEROPUERTO,BARAJAS AEROPUERTO,BARAJASAEROPUERTO,AVAILABILITY BARAJAS AEROPUERTO,AVAILABILITYBARAJASAEROPUERTO,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BARAJAS,CASCO HISTÓRICO DE BARAJAS,BARAJAS CASCO HISTÓRICO DE BARAJAS,BARAJASCASCOHISTÓRICODEBARAJAS,AVAILABILITY BARAJAS CASCO HISTÓRICO DE BARAJAS,AVAILABILITYBARAJASCASCOHISTÓRICODEBARAJAS,0,0,0,6,0,6,0,0,4,0,0,0,0,0
BARAJAS,TIMÓN,BARAJAS TIMÓN,BARAJASTIMÓN,AVAILABILITY BARAJAS TIMÓN,AVAILABILITYBARAJASTIMÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARAJAS,CORRALEJOS,BARAJAS CORRALEJOS,BARAJASCORRALEJOS,AVAILABILITY BARAJAS CORRALEJOS,AVAILABILITYBARAJASCORRALEJOS,0,0,0,0,0,15,15,0,5,0,0,0,0,0
