DIRECCION_COMPLETA,COD_DISTRITO,DISTRITO,LATITUD,LONGITUD,DÍA SEMANA,HORA INICIO,HORA FINAL
"Bulevar  Indalecio Prieto, 9",19,VICALVARO,40.40324833,-3.619895988,JUEVES,12:15,13:45
"Calle  Embalse de Navacerrada,  Frente al número 50",18,VILLA DE VALLECAS,40.36243065,-3.601593679,JUEVES,12:15,13:45
"Calle  Silvano, 97 Frente al número 97, intersección con Avenida Machupichu",16,HORTALEZA,40.46261384,-3.634768951,JUEVES,12:15,13:45
"Calle  Velázquez, 48",04,SALAMANCA,40.42687862,-3.68389872,JUEVES,12:15,13:45
"Avenida  Guadalajara,  Intersección con Calle San Román del Valle",20,SAN BLAS-CANILLEJAS,40.41929933,-3.621029333,JUEVES,14:00,15:30
"Calle  Monleón, 2",13,PUENTE VALLECAS,40.39240479,-3.655240189,JUEVES,14:00,15:30
"Calle  Santa Hortensia, 2 Intersección con López de Hoyos",05,CHAMARTIN,40.44595901,-3.670651482,JUEVES,14:00,15:30
"Calle  Sierra Vieja, 1",18,VILLA DE VALLECAS,40.37727079,-3.629576569,JUEVES,14:00,15:30
"Calle  Velázquez, 89",04,SALAMANCA,40.4340697,-3.683590638,JUEVES,14:00,15:30
"Calle  Albericia,  Intersección con Calle Arcos del Jalón",20,SAN BLAS-CANILLEJAS,40.42447465,-3.615522535,JUEVES,15:45,17:15
"Calle  Clara del Rey, 21",05,CHAMARTIN,40.4410825,-3.672100324,JUEVES,15:45,17:15
"Calle  Francisco Silvela,  Intersección con Calle Florestón Aguilar junto al Parque Eva Duarte",04,SALAMANCA,40.4302759,-3.670415455,JUEVES,15:45,17:15
"Calle  Arroyo del Olivar,  Intersección con Calle Martínez de la Riva, 18",13,PUENTE VALLECAS,40.39408233,-3.666178413,JUEVES,15:45,17:15
"Calle  Playa de Zarauz, 1",21,BARAJAS,40.47325425,-3.592435163,JUEVES,15:45,17:15
"Paseo  Federico García Lorca, 3",18,VILLA DE VALLECAS,40.37940569,-3.620995046,JUEVES,15:45,17:15
"Avenida  Doctor García Tapia, 135",14,MORATALAZ,40.40915774,-3.63711767,JUEVES,17:30,19:00
"Avenida  Gavia, 14",18,VILLA DE VALLECAS,40.37507331,-3.610482743,JUEVES,17:30,19:00
"Avenida  Niza, 25 En el tramo de vía entre los números 13 y 25",20,SAN BLAS-CANILLEJAS,40.42792648,-3.606913356,JUEVES,17:30,19:00
"Calle  Alcalá, 237 Junto a Plaza de Toros de las Ventas",04,SALAMANCA,40.43116732,-3.663950523,JUEVES,17:30,19:00
"Calle  Bahia de Cádiz, 32",21,BARAJAS,40.46380544,-3.594330551,JUEVES,17:30,19:00
"Calle  Javier de Miguel, 40",13,PUENTE VALLECAS,40.38756002,-3.660630692,JUEVES,17:30,19:00
"Calle  Príncipe de Vergara, 142",05,CHAMARTIN,40.44464014,-3.678215136,JUEVES,17:30,19:00
"Calle  Babilonia, 33",21,BARAJAS,40.46747627,-3.584841288,JUEVES,19:15,20:45
"Calle  Brescia, 2 Intersección con Calle Biarritz",04,SALAMANCA,40.43649844,-3.664382838,JUEVES,19:15,20:45
"Calle  Concha Espina, 14",05,CHAMARTIN,40.45178134,-3.686915621,JUEVES,19:15,20:45
"Calle  Fuente Carrantona, 41",14,MORATALAZ,40.40832878,-3.631194585,JUEVES,19:15,20:45
"Calle  Puentelarrá, 13",18,VILLA DE VALLECAS,40.38246707,-3.609304279,JUEVES,19:15,20:45
"Calle  Ruidera, 26",13,PUENTE VALLECAS,40.38027879,-3.675442596,JUEVES,19:15,20:45
"Avenida  Fermina Sevillano, 26",20,SAN BLAS-CANILLEJAS,40.44483484,-3.56906922,VIERNES,7:00,8:30
"Calle  Eugenia de Montijo, 99",11,CARABANCHEL,40.37438754,-3.750942663,VIERNES,7:00,8:30
"Calle  Gran Avenida, 31",12,USERA,40.36964168,-3.706191846,VIERNES,7:00,8:30
"Calle  Hacienda de Pavones, 220",14,MORATALAZ,40.40132224,-3.640043602,VIERNES,7:00,8:30
"Calle  Rafael Finat, 103",10,LATINA,40.37583416,-3.772503573,VIERNES,7:00,8:30
"Calle  Valdebernardo, 45",14,MORATALAZ,40.40353147,-3.631848368,VIERNES,7:00,8:30
"Avenida  Segunda,  Frente al número 5 aproximadamente",20,SAN BLAS-CANILLEJAS,40.44735399,-3.594355582,VIERNES,8:45,10:15
"Calle  General Millan Astray, 20",10,LATINA,40.37841904,-3.767240468,VIERNES,8:45,10:15
"Calle  Hacienda de Pavones, 72",14,MORATALAZ,40.40345595,-3.646165909,VIERNES,8:45,10:15
"Calle  Parque de la Paloma, 32",12,USERA,40.37860534,-3.714641117,VIERNES,8:45,10:15
"Calle  Encomienda de Palacios, 360",14,MORATALAZ,40.39688953,-3.634478572,VIERNES,8:45,10:15
"Avenida  Monasterio de Silos,  Acera de los pares, frente al número 23",08,FUENCARRAL,40.5034714,-3.706355909,VIERNES,10:30,12:00
"Avenida  Plaza de Toros, 3",11,CARABANCHEL,40.38554646,-3.73753348,VIERNES,10:30,12:00
"Calle  Antonio López, 246-248",12,USERA,40.38190628,-3.695938392,VIERNES,10:30,12:00
"Calle  Arturo Soria, 320",15,CIUDAD LINEAL,40.47826258,-3.668261241,VIERNES,10:30,12:00
"Calle  Camino de Vinateros, 108",14,MORATALAZ,40.40821598,-3.646939656,VIERNES,10:30,12:00
"Calle  Amparo Usera, 47",12,USERA,40.38687465,-3.706806586,VIERNES,12:15,13:45
"Avenida  Oporto, 96",11,CARABANCHEL,40.38718499,-3.729555278,VIERNES,12:15,13:45
"Calle  Torrelaguna, 66",15,CIUDAD LINEAL,40.44877423,-3.657036057,VIERNES,12:15,13:45
"Calle  Camino de Vinateros, 63",14,MORATALAZ,40.41042488,-3.651935154,VIERNES,12:15,13:45
"Calle  Antonio López, 9",11,CARABANCHEL,40.39707843,-3.714113341,VIERNES,14:00,15:30
"Calle  Berrocal, 72",17,VILLAVERDE,40.34116319,-3.675264764,VIERNES,14:00,15:30
"Calle  Camino de los Vinateros, 10-12",14,MORATALAZ,40.41063083,-3.660460934,VIERNES,14:00,15:30
"Calle  Duquesa de Parcent, 96",10,LATINA,40.39591401,-3.750286074,VIERNES,14:00,15:30
"Calle  José del Hierro, 37 Intersección con Calle Rosalía Trujillo",15,CIUDAD LINEAL,40.43991309,-3.64485179,VIERNES,14:00,15:30
"Calle  Leopoldo Alas Clarín,  Acera de los pares, frente al número 41",08,FUENCARRAL,40.48099503,-3.733183387,VIERNES,14:00,15:30
"Avenida  Moratalaz, 39",14,MORATALAZ,40.40754695,-3.658655805,VIERNES,15:45,17:15
"Calle  Carmen de Burgos, 4",17,VILLAVERDE,40.35742549,-3.684914537,VIERNES,15:45,17:15
"Calle  Estafeta, 20 Frente al número 7",12,USERA,40.37334237,-3.692472821,VIERNES,17:30,19:00
"Calle  María Teresa Sáenz de Heredia, 44",15,CIUDAD LINEAL,40.4255882,-3.650847751,VIERNES,17:30,19:00
"Calle  Monforte de Lemos, 38",08,FUENCARRAL,40.47842163,-3.709446437,VIERNES,17:30,19:00
"Calle  Santa Petronila,  Intersección con Calle José del Pino",17,VILLAVERDE,40.35071212,-3.692274736,VIERNES,17:30,19:00
"Avenida  El Ferrol, 6",08,FUENCARRAL,40.47454833,-3.703932363,VIERNES,19:15,20:45
"Calle  Coníferas, 10",12,USERA,40.36694595,-3.694602542,VIERNES,19:15,20:45
"Calle  Laguna Rodrigo, 7",17,VILLAVERDE,40.35161857,-3.7063763,VIERNES,19:15,20:45
"Calle  Tacona, 1 Intersección con Arroyo Fontarrón",14,MORATALAZ,40.3964446,-3.641144577,VIERNES,19:15,20:45
"Avenida  Institución Libre de Enseñanza, 158",15,CIUDAD LINEAL,40.42501632,-3.629068666,VIERNES,19:15,20:45
"Paseo  Ermita del Santo, 39",10,LATINA,40.40655438,-3.724384145,VIERNES,19:15,20:45
"Avenida  Osa Mayor, 23",09,MONCLOA-ARAVACA,40.4596153,-3.778909594,SABADO,7:00,8:30
"Calle  Tampico, 79",20,SAN BLAS-CANILLEJAS,40.44475344,-3.635651261,SABADO,7:00,8:30
"Plaza  Chamberí, 4",07,CHAMBERI,40.43306165,-3.697121262,SABADO,7:00,8:30
"Avenida  Prunos, 44 Intersección con Avenida Arroyo del Santo",16,HORTALEZA,40.45255663,-3.622087825,SABADO,8:45,10:15
"Calle  Antonio Machado, 12 IDM Ciudad de los Poetas",09,MONCLOA-ARAVACA,40.46598087,-3.71921181,SABADO,8:45,10:15
"Calle  Boltaña, 20",20,SAN BLAS-CANILLEJAS,40.44479404,-3.613450944,SABADO,8:45,10:15
"Calle  Santa Engracia, 126",07,CHAMBERI,40.44157,-3.701391,SABADO,8:45,10:15
"Plaza  Legazpi, 5 Intersección con Paseo del Molino",02,ARGANZUELA,40.3907741,-3.694808258,SABADO,8:45,10:15
"Calle  Bravo Murillo, 41",07,CHAMBERI,40.43776198,-3.705244148,SABADO,10:30,12:00
"Calle  Cuevas de la Almanzora, 18",16,HORTALEZA,40.47667771,-3.659140563,SABADO,10:30,12:00
"Paseo  Santa María de la Cabeza, 64",02,ARGANZUELA,40.40051605,-3.699861192,SABADO,10:30,12:00
"Plaza  Mayor, 29-30 Salida Calle Ciudad Rodrigo",01,CENTRO,40.41574723,-3.706902053,SABADO,10:30,12:00
"Avenida  Francisco Pi y Margall, 72",16,HORTALEZA,40.49074059,-3.659086913,SABADO,12:15,13:45
"Avenida  San Diego, 111",13,PUENTE VALLECAS,40.38265243,-3.664107653,SABADO,12:15,13:45
"Paseo  Delicias, 24",02,ARGANZUELA,40.4054452,-3.693616009,SABADO,12:15,13:45
"Paseo  San Francisco de Sales, 36",07,CHAMBERI,40.44209537,-3.713196475,SABADO,12:15,13:45
"Calle  Bravo Murillo, 92",07,CHAMBERI,40.4458567,-3.703788592,SABADO,14:00,15:30
"Calle  La Mancha, 2",13,PUENTE VALLECAS,40.38148977,-3.669341034,SABADO,14:00,15:30
"Avenida  Niceto Alcalá Zamora, 78 Intersección con Vicente Blasco Ibañez",16,HORTALEZA,40.4965535,-3.652395738,SABADO,14:00,15:30
"Paseo  Delicias, 122",02,ARGANZUELA,40.39487516,-3.694841268,SABADO,14:00,15:30
"Plaza  Cebada, 5-7",01,CENTRO,40.41141936,-3.709642084,SABADO,14:00,15:30
"Avenida  Pablo Neruda, 89",13,PUENTE VALLECAS,40.38115207,-3.660117241,SABADO,15:45,17:15
"Calle  Bravo Murillo, 8",07,CHAMBERI,40.43439746,-3.704244286,SABADO,15:45,17:15
"Paseo  Chopera, 12",02,ARGANZUELA,40.39317945,-3.698067172,SABADO,15:45,17:15
"Calle  Arapiles, 21 Intersección con Calle Vallehermoso",07,CHAMBERI,40.43279411,-3.708519655,SABADO,17:30,19:00
"Avenida  Rafael Alberti, 34",13,PUENTE VALLECAS,40.3847149,-3.642651544,SABADO,17:30,19:00
"Camino  Viejo de Burgos, 24",16,HORTALEZA,40.48188344,-3.63135024,SABADO,17:30,19:00
"Paseo  Juan Antonio Vallejo-Nájera Botas,  Intersección con Plaza Ortega y Munilla, detrás de la entrada a la estación de Cercanías de Pirámides",02,ARGANZUELA,40.40285996,-3.711376364,SABADO,17:30,19:00
"Avenida  Virgen del Carmen,  Acera impares, frente al número 84",16,HORTALEZA,40.47550565,-3.647589094,SABADO,19:15,20:45
"Calle  Fernández de los Ríos, 62",07,CHAMBERI,40.43534781,-3.711832755,SABADO,19:15,20:45
"Plaza  Francisco Morano, 3 En la rotonda entre las salidas de Paseo Imperial y Paseo de los Pontones",02,ARGANZUELA,40.4046986,-3.716273022,SABADO,19:15,20:45
"Calle  Federico Mompou, 4 Edificio Telecinco",08,FUENCARRAL,40.5108133512341,-3.67888605764082,MARTES,7:00,8:30
"Ronda  Ronda de la Comunicación, 2 Edificio Telefonica",08,FUENCARRAL,40.5138979304183,-3.66429606720972,MARTES,8:45,10:15
"Calle  Abetal, 3-5 Edificio BBVA",08,FUENCARRAL,40.5007244095852,-3.66259517914358,MARTES,10:30,12:00
"Avenida  Avda. Monforte de Lemos, 1 Cuatro Torres",08,FUENCARRAL,40.4750302638568,-3.68770369754848,MARTES,12:15,13:45
"calle  Mauricio Legendre, 5",05,CHAMARTIN,40.4692363293796,-3.68696147683308,MARTES,14:00,15:30
"calle  Orense, 2 Azca",06,TETUAN,40.4468732750801,-3.52989542448213,MARTES,15:45,17:15
"calle  Agustín de Betancourt, 1 Ministerio",07,CHAMBERI,40.4420748012669,-3.6950649134365,MARTES,17:30,19:00
"calle  Montalbán, 7-9 Edificio Ayuntamiento de Madrid",03,RETIRO,40.4182126836302,-3.69014800469709,MARTES,8:45,10:15
"calle  Méndez Álvaro, 1 Puerta de Atocha",02,ARGANZUELA,40.4067688513445,-3.69231672404241,MARTES,10:30,12:00
"calle  Cerro de la Plata, 3 EMT",02,ARGANZUELA,40.4002327303121,-3.6746135863849,MARTES,12:15,13:45
"calle  Méndez Álvaro, 44 edficio Repsol",02,ARGANZUELA,40.3985229910894,-3.68386081508759,JUEVES,7:00,8:30
"calle  Bustamante , 16 Edificio Ayuntamiento de Madrid",02,ARGANZUELA,40.4004601355331,-3.68826187102883,JUEVES,8:45,10:15
"calle  Alcalde Sainz de Baranda , 92 frente. (Fachada Parque Fuente del Berro).",04,SALAMANCA,40.4211207544295,-3.66260692996813,JUEVES,10:30,12:00
"calle  Albarracín, , 35 Edificio Ayuntamiento de Madrid",20,SAN BLAS-CANILLEJAS,40.4318305270171,-3.63041864358532,JUEVES,12:15,13:45
"calle  Ribera del Sena, 21 esquina con Estrasburgo Edificio Ayuntamiento de Madrid",21,BARAJAS,40.4619759490284,-3.61767209392875,JUEVES,14:00,15:30
"calle  Abelias, 1 esquina Avda. Arces",16,HORTALEZA,40.4523108158298,-3.62479689737055,JUEVES,15:45,17:15
"Paseo  Alameda de Osuna, , 50",21,BARAJAS,40.4546115269435,-3.59774492487677,JUEVES,17:30,19:00
"Avenida  Logroño , 160-162 Entrada Residencial El Capricho",21,BARAJAS,40.4749331667577,-3.58202653065271,JUEVES,19:15,20:45
"Paseo  Florida, 12  (farola 13)",09,MONCLOA-ARAVACA,40.4228444553487,-3.72275349491946,SÁBADO,19:15,20:45
"Avenida  Principal, 4-6  Acceso Pabellón Cubo de la Pipa- Casa de Campo",09,MONCLOA-ARAVACA,40.4124795455108,-3.7390871636404,LUNES,12:15,13:45
