COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
31005200,GLORIETA,DEL,ALCALDE DE CANILLAS LUIS HERAS JIMENEZ,ALCALDE DE CANILLAS LUIS HERAS JIMÉNEZ,16
31005209,GLORIETA,DEL,ALCALDE DE CANILLAS MARCO AREVALO PEREZ,ALCALDE DE CANILLAS MARCO ARÉVALO PÉREZ,16
31005208,GLORIETA,DEL,ALCALDE DE CANILLAS VICENTE LILLO SOLER,ALCALDE DE CANILLAS VICENTE LILLO SOLER,16
31005197,GLORIETA,DEL,ALCALDE DE HORTALEZA ANDRES MOLPECERES BARCELO,ALCALDE DE HORTALEZA ANDRÉS MOLPECERES BARCELÓ,16
31005198,GLORIETA,DEL,ALCALDE DE HORTALEZA ANGEL MARTINEZ LORENZO,ALCALDE DE HORTALEZA ÁNGEL MARTÍNEZ LORENZO,16
31005211,GLORIETA,DEL,ALCALDE DE HORTALEZA RAFAEL ORTEGA LOPEZ,ALCALDE DE HORTALEZA RAFAEL ORTEGA LÓPEZ,16
31005199,PLAZUELA,DEL,ALCALDE DE HORTALEZA VICTORIANO ELIPE SANCHEZ,ALCALDE DE HORTALEZA VICTORIANO ELIPE SÁNCHEZ,16
19135,CALLE,DEL,ALCALDE GARRIDO JUARISTI,ALCALDE GARRIDO JUARISTI,14
19135,CALLE,DEL,ALCALDE GARRIDO JUARISTI,ALCALDE GARRIDO JUARISTI,14
31000123,CALLE,DEL,ALCALDE HENCHE DE LA PLATA,ALCALDE HENCHE DE LA PLATA,16
750950,CALLE,DEL,ALCALDE JUAN DE MATA SEVILLANO,ALCALDE JUAN DE MATA SEVILLANO,19
19200,CALLE,DEL,ALCALDE LOPEZ CASERO,ALCALDE LÓPEZ CASERO,15
19200,CALLE,DEL,ALCALDE LOPEZ CASERO,ALCALDE LÓPEZ CASERO,15
950,CALLE,DEL,ALCALDE LUIS MARICHALAR,ALCALDE LUIS MARICHALAR,14
19210,CALLE,DEL,ALCALDE LUIS SILVELA,ALCALDE LUIS SILVELA,20
19250,CALLE,DEL,ALCALDE MARTIN DE ALZAGA,ALCALDE MARTÍN DE ALZAGA,9
31000118,PLAZA,DEL,ALCALDE MORENO TORRES,ALCALDE MORENO TORRES,16
31000560,CALLE,DE,ALCALDE PEDRO ESCARBASSIERE,ALCALDE PEDRO ESCARBASSIERE,19
31001812,CALLE,DEL,ALCALDE PEDRO GUTIERREZ,ALCALDE PEDRO GUTIÉRREZ,19
31000122,CALLE,DEL,ALCALDE REDONDO ACEÑA,ALCALDE REDONDO ACEÑA,16
19300,CALLE,DEL,ALCALDE SAINZ DE BARANDA,ALCALDE SAINZ DE BARANDA,3
19300,CALLE,DEL,ALCALDE SAINZ DE BARANDA,ALCALDE SAINZ DE BARANDA,3
19300,CALLE,DEL,ALCALDE SAINZ DE BARANDA,ALCALDE SAINZ DE BARANDA,3
19300,CALLE,DEL,ALCALDE SAINZ DE BARANDA,ALCALDE SAINZ DE BARANDA,4
19301,CALLE,DE LA,ALCANCIA,ALCANCÍA,9
19400,CALLE,DE,ALCANTARA,ALCÁNTARA,4
19400,CALLE,DE,ALCANTARA,ALCÁNTARA,4
19500,CALLE,DE,ALCAÑICES,ALCAÑICES,20
19600,CALLE,DE,ALCAÑIZ,ALCAÑIZ,21
19600,CALLE,DE,ALCAÑIZ,ALCAÑIZ,21
19700,CALLE,DEL,ALCARAVAN,ALCARAVÁN,10
19800,CALLE,DE,ALCARAZ,ALCARAZ,16
19900,CALLE,DE LA,ALCARRIA,ALCARRIA,17
20000,CALLE,DEL,ALCATRAZ,ALCATRAZ,11
20100,PLAZA,DE,ALCAUDETE,ALCAUDETE,16
20200,CALLE,DEL,ALCAUDON,ALCAUDÓN,11
20250,CALLE,DE LA,ALCAZABA,ALCAZABA,12
20300,CALLE,DE,ALCAZAR DE SAN JUAN,ALCÁZAR DE SAN JUAN,10
759800,CALLE,DE,ALCION,ALCIÓN,11
20400,PLAZA,DE,ALCIRA,ALCIRA,9
20500,CALLE,DE,ALCOBENDAS,ALCOBENDAS,16
20450,CAMINO,DE,ALCOBENDAS,ALCOBENDAS,8
905567,CARRETERA,DE,ALCOBENDAS,ALCOBENDAS,8
20700,CARRETERA,DE,ALCOBENDAS A BARAJAS,ALCOBENDAS A BARAJAS,21
20700,CARRETERA,DE,ALCOBENDAS A BARAJAS,ALCOBENDAS A BARAJAS,21
20800,CALLE,DE,ALCOCER,ALCOCER,17
20800,CALLE,DE,ALCOCER,ALCOCER,17
20900,CALLE,DE,ALCOLEA,ALCOLEA,6
21000,CALLE,DE,ALCONERA,ALCONERA,20
21000,CALLE,DE,ALCONERA,ALCONERA,20
21200,CALLE,DE,ALCORES,ALCORES,13
21250,CALLE,DE,ALCORISA,ALCORISA,16
711,CALLE,DEL,ALCORNOQUE,ALCORNOQUE,9
21800,CALLE,DE,ALDAPA,ALDAPA,11
21900,CALLE,DE,ALDAYA,ALDAYA,16
22000,CALLE,DE,ALDEA DEL FRESNO,ALDEA DEL FRESNO,2
31001635,CALLE,DE,ALDEA REAL,ALDEA REAL,9
