COD_VIA,VIA_CLASE,URI,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
31000463,CALLE,CALLEDECERLER,DE,CERLER,CERLER,9
972,CALLE,CALLEDE LACERRAJA,DE LA,CERRAJA,CERRAJA,10
164500,CALLE,CALLEDE LACERRAJERIA,DE LA,CERRAJERIA,CERRAJERÍA,20
164600,CALLE,CALLEDELCERRILLO,DEL,CERRILLO,CERRILLO,8
741,CALLE,CALLEDELCERRO,DEL,CERRO,CERRO,15
165600,CALLE,CALLEDELCERRO BERMEJO,DEL,CERRO BERMEJO,CERRO BERMEJO,10
165700,PLAZA,PLAZADELCERRO BERMEJO,DEL,CERRO BERMEJO,CERRO BERMEJO,10
165800,CALLE,CALLEDELCERRO BLANCO,DEL,CERRO BLANCO,CERRO BLANCO,12
166300,PLAZA,PLAZADELCERRO CASTELO,DEL,CERRO CASTELO,CERRO CASTELO,13
1405,CALLE,CALLEDELCERRO DE ALAMOS BLANCOS,DEL,CERRO DE ALAMOS BLANCOS,CERRO DE ÁLAMOS BLANCOS,8
31004095,CALLE,CALLEDELCERRO DE ALMODOVAR,DEL,CERRO DE ALMODOVAR,CERRO DE ALMODÓVAR,18
31004095,CALLE,CALLEDELCERRO DE ALMODOVAR,DEL,CERRO DE ALMODOVAR,CERRO DE ALMODÓVAR,19
165000,CALLE,CALLEDELCERRO DE LA ALCAZABA,DEL,CERRO DE LA ALCAZABA,CERRO DE LA ALCAZABA,13
1412,CALLE,CALLEDELCERRO DE LA CARRASQUETA,DEL,CERRO DE LA CARRASQUETA,CERRO DE LA CARRASQUETA,8
31001853,CALLE,CALLEDELCERRO DE LA GAVIA,DEL,CERRO DE LA GAVIA,CERRO DE LA GAVIA,18
166700,CALLE,CALLEDELCERRO DE LA MICA,DEL,CERRO DE LA MICA,CERRO DE LA MICA,10
167590,CALLE,CALLEDELCERRO DE LA PLATA,DEL,CERRO DE LA PLATA,CERRO DE LA PLATA,3
1942,CAMINO,CAMINODELCERRO DE LAS COVATILLAS,DEL,CERRO DE LAS COVATILLAS,CERRO DE LAS COVATILLAS,9
165400,AVENIDA,AVENIDADELCERRO DE LOS ANGELES,DEL,CERRO DE LOS ANGELES,CERRO DE LOS ÁNGELES,12
165200,CALLE,CALLEDELCERRO DE LOS ANGELES,DEL,CERRO DE LOS ANGELES,CERRO DE LOS ÁNGELES,17
31001808,CALLE,CALLEDELCERRO DE LOS HOMBRES,DEL,CERRO DE LOS HOMBRES,CERRO DE LOS HOMBRES,19
905453,CAMINO,CAMINODELCERRO DE LOS INOCENTES,DEL,CERRO DE LOS INOCENTES,CERRO DE LOS INOCENTES,8
167760,CALLE,CALLEDELCERRO DE VALDECAHONDE,DEL,CERRO DE VALDECAHONDE,CERRO DE VALDECAHONDE,9
167900,CALLE,CALLEDELCERRO DE VALDEMARTIN,DEL,CERRO DE VALDEMARTIN,CERRO DE VALDEMARTÍN,8
1804,CAMINO,CAMINODELCERRO DEL AGUILA,DEL,CERRO DEL AGUILA,CERRO DEL ÁGUILA,9
31001800,CALLE,CALLEDELCERRO DEL CAMPO,DEL,CERRO DEL CAMPO,CERRO DEL CAMPO,19
166150,CALLE,CALLEDELCERRO DEL CARRASCO,DEL,CERRO DEL CARRASCO,CERRO DEL CARRASCO,18
166200,CALLE,CALLEDELCERRO DEL CASTAÑAR,DEL,CERRO DEL CASTAÑAR,CERRO DEL CASTAÑAR,8
31001798,CALLE,CALLEDELCERRO DEL MONTE,DEL,CERRO DEL MONTE,CERRO DEL MONTE,19
31000647,CALLE,CALLEDELCERRO DEL MURMULLO,DEL,CERRO DEL MURMULLO,CERRO DEL MURMULLO,18
31000647,CALLE,CALLEDELCERRO DEL MURMULLO,DEL,CERRO DEL MURMULLO,CERRO DEL MURMULLO,18
31001799,CALLE,CALLEDELCERRO DEL TESORO,DEL,CERRO DEL TESORO,CERRO DEL TESORO,19
31000509,AVENIDA,AVENIDADELCERRO MILANO,DEL,CERRO MILANO,CERRO MILANO,18
31000509,AVENIDA,AVENIDADELCERRO MILANO,DEL,CERRO MILANO,CERRO MILANO,18
1404,CALLE,CALLEDELCERRO MINGUETE,DEL,CERRO MINGUETE,CERRO MINGUETE,8
167000,CALLE,CALLEDELCERRO NEGRO,DEL,CERRO NEGRO,CERRO NEGRO,3
167100,CALLE,CALLEDELCERRO ORTIGOSO,DEL,CERRO ORTIGOSO,CERRO ORTIGOSO,8
1413,CALLE,CALLEDELCERRO PIÑONERO,DEL,CERRO PIÑONERO,CERRO PIÑONERO,8
769,CALLE,CALLEDELCERRO SAN PEDRO,DEL,CERRO SAN PEDRO,CERRO SAN PEDRO,9
905321,CAMINO,CAMINODE LOSCERROS,DE LOS,CERROS,CERROS,19
905321,CAMINO,CAMINODE LOSCERROS,DE LOS,CERROS,CERROS,19
168200,AVENIDA,AVENIDADECERVANTES,DE,CERVANTES,CERVANTES,8
168100,CALLE,CALLEDECERVANTES,DE,CERVANTES,CERVANTES,1
743500,CALLE,CALLEDECERVANTES,DE,CERVANTES,CERVANTES,11
743500,CALLE,CALLEDEEL TOBOSO,DE,EL TOBOSO,EL TOBOSO,11
168300,CALLE,CALLEDECERVERA,DE,CERVERA,CERVERA,16
31001753,CALLE,CALLEDECESAR CORT BOTI,DE,CESAR CORT BOTI,CÉSAR CORT BOTÍ,16
168350,CALLE,CALLEDECESAR GONZALEZ RUANO,DE,CESAR GONZALEZ RUANO,CÉSAR GONZÁLEZ RUANO,15
1933,CALLE,CALLEDECESAR MANRIQUE,DE,CESAR MANRIQUE,CÉSAR MANRIQUE,8
2645,CALLE,CALLEDECESAR PASTOR LLOPIS,DE,CESAR PASTOR LLOPIS,CÉSAR PASTOR LLOPIS,18
168400,CALLE,CALLEDECESTONA,DE,CESTONA,CESTONA,12
168500,CALLE,CALLEDECEUTA,DE,CEUTA,CEUTA,6
2473,PLAZA,PLAZADECHABUCA GRANDA,DE,CHABUCA GRANDA,CHABUCA GRANDA,16
905524,CARRETERA,CARRETERADELCHALET,DEL,CHALET,CHALET,8
227900,PLAZA,PLAZADECHAMBERI,DE,CHAMBERI,CHAMBERÍ,7
228200,AVENIDA,AVENIDADECHAMPAGNAT,DE,CHAMPAGNAT,CHAMPAGNAT,16
228300,CALLE,CALLEDECHANTADA,DE,CHANTADA,CHANTADA,8
228300,CALLE,CALLEDECHANTADA,DE,CHANTADA,CHANTADA,8
228325,CALLE,CALLEDECHAPARRAL,DE,CHAPARRAL,CHAPARRAL,16
228350,CALLE,CALLEDECHAPINERIA,DE,CHAPINERIA,CHAPINERÍA,8
228400,CALLE,CALLEDE LACHAPISTERIA,DE LA,CHAPISTERIA,CHAPISTERÍA,20
228500,GLORIETA,GLORIETADECHARALA,DE,CHARALA,CHARALÁ,16
228600,CALLE,CALLEDE LACHARCA VERDE,DE LA,CHARCA VERDE,CHARCA VERDE,5
73600,PLAZA,PLAZADE LACHARCA VERDE,DE LA,CHARCA VERDE,CHARCA VERDE,5
31001803,CALLE,CALLEDELCHARCO ALTO,DEL,CHARCO ALTO,CHARCO ALTO,19
905745,CAMINO,CAMINODELCHARCO DEL SOMBRERO,DEL,CHARCO DEL SOMBRERO,CHARCO DEL SOMBRERO,18
31001804,CALLE,CALLEDELCHARCO HONDO,DEL,CHARCO HONDO,CHARCO HONDO,19
905590,CAMINO,CAMINODE LOSCHARCONES,DE LOS,CHARCONES,CHARCONES,8
31000389,CALLE,CALLEDELCHARLEROI,DEL,CHARLEROI,CHARLEROI,13
2865,CALLE,CALLECHARLIE,,CHARLIE,CHARLIE,21
31001825,CALLE,CALLEDE LACHARQUILLA,DE LA,CHARQUILLA,CHARQUILLA,19
229000,CALLE,CALLEDE LACHAVASCA,DE LA,CHAVASCA,CHAVASCA,8
229100,CALLE,CALLEDECHICLANA,DE,CHICLANA,CHICLANA,11
229350,CALLE,CALLEDECHICUELO,DE,CHICUELO,CHICUELO,16
229400,CALLE,CALLEDECHILE,DE,CHILE,CHILE,5
229400,CALLE,CALLEDECHILE,DE,CHILE,CHILE,5
905018,PASEO,PASEODECHILE,DE,CHILE,CHILE,3
229500,CALLE,CALLEDECHIMA,DE,CHIMA,CHIMA,16
229600,CALLE,CALLEDELCHIMBO,DEL,CHIMBO,CHIMBO,11
2914,CALLE,CALLEDE LACHIMENEA,DE LA,CHIMENEA,CHIMENEA,19
229700,CALLE,CALLEDECHIMICHAGUA,DE,CHIMICHAGUA,CHIMICHAGUA,16
905686,CAMINO,CAMINODE LACHINA A VALLECAS,DE LA,CHINA A VALLECAS,CHINA A VALLECAS,18
229900,CALLE,CALLEDECHINCHILLA,DE,CHINCHILLA,CHINCHILLA,1
230000,CALLE,CALLEDECHINDASVINTO,DE,CHINDASVINTO,CHINDASVINTO,11
2417,CALLE,CALLEDECHIPIONA,DE,CHIPIONA,CHIPIONA,16
230200,CALLE,CALLEDECHIQUINQUIRA,DE,CHIQUINQUIRA,CHIQUINQUIRA,16
1122,CALLE,CALLECHIQUITA,,CHIQUITA,CHIQUITA,17
230300,CALLE,CALLEDE LACHIRIMOYA,DE LA,CHIRIMOYA,CHIRIMOYA,11
1908,CALLE,CALLEDECHIRIVEL,DE,CHIRIVEL,CHIRIVEL,16
2526,CALLE,CALLEDE LACHIRIVITA,DE LA,CHIRIVITA,CHIRIVITA,11
230400,CALLE,CALLEDE LOSCHISPEROS,DE LOS,CHISPEROS,CHISPEROS,10
31004764,PLAZA,PLAZADE LOSCHISPEROS DE CHAMBERI,DE LOS,CHISPEROS DE CHAMBERI,CHISPEROS DE CHAMBERÍ,7
230500,CALLE,CALLEDELCHOCO,DEL,CHOCO,CHOCO,16
230525,CALLE,CALLEDECHOCONTA,DE,CHOCONTA,CHOCONTA,16
230600,PASEO,PASEODE LACHOPERA,DE LA,CHOPERA,CHOPERA,2
230626,CALLE,CALLEDELCHOPO,DEL,CHOPO,CHOPO,9
1953,PASEO,PASEODE LOSCHOPOS,DE LOS,CHOPOS,CHOPOS,9
1899,CAMINO,CAMINODELCHORRILLO,DEL,CHORRILLO,CHORRILLO,6
230650,PLAZA,PLAZADECHOZAS DE CANALES,DE,CHOZAS DE CANALES,CHOZAS DE CANALES,17
274600,CALLE,CALLEDE LASCHOZAS DE LA ALHONDIGA,DE LAS,CHOZAS DE LA ALHONDIGA,CHOZAS DE LA ALHÓNDIGA,2
274600,PASEO,PASEODE LAESPERANZA,DE LA,ESPERANZA,ESPERANZA,2
230700,CALLE,CALLEDECHOZAS DE LA SIERRA,DE,CHOZAS DE LA SIERRA,CHOZAS DE LA SIERRA,5
230800,CALLE,CALLEDELCHUCURI,DEL,CHUCURI,CHUCURI,16
230900,PLAZA,PLAZADECHUECA,DE,CHUECA,CHUECA,1
2728,CALLE,CALLEDE LOSCHULAPOS,DE LOS,CHULAPOS,CHULAPOS,2
231000,CALLE,CALLEDE LACHUMBERA,DE LA,CHUMBERA,CHUMBERA,6
231200,CALLE,CALLEDECHURRUCA,DE,CHURRUCA,CHURRUCA,1
168600,PLAZA,PLAZADECIBELES,DE,CIBELES,CIBELES,1
168600,PLAZA,PLAZADECIBELES,DE,CIBELES,CIBELES,1
168600,PLAZA,PLAZADECIBELES,DE,CIBELES,CIBELES,3
168600,PLAZA,PLAZADECIBELES,DE,CIBELES,CIBELES,4
168700,CALLE,CALLEDECICERON,DE,CICERON,CICERÓN,6
168850,CALLE,CALLEDELCICLON,DEL,CICLON,CICLÓN,21
168900,CALLE,CALLEDECICONIA,DE,CICONIA,CICONIA,15
169000,CALLE,CALLEDELCID,DEL,CID,CID,4
169100,CALLE,CALLEDELCIDACOS,DEL,CIDACOS,CIDACOS,5
169200,CALLE,CALLEDECIDAMON,DE,CIDAMON,CIDAMÓN,15
169250,PLAZA,PLAZADECIDAMON,DE,CIDAMON,CIDAMÓN,15
169300,CALLE,CALLEDE LACIDRA,DE LA,CIDRA,CIDRA,15
1707,CALLE,CALLEDELCIDRO,DEL,CIDRO,CIDRO,11
31000392,PLAZA,PLAZADE LASCIENCIAS,DE LAS,CIENCIAS,CIENCIAS,9
31001645,CALLE,CALLECIENTO CINCO,,CIENTO CINCO,CIENTO CINCO,13
31001644,CALLE,CALLECIENTO CUATRO,,CIENTO CUATRO,CIENTO CUATRO,13
31001642,CALLE,CALLECIENTO DOS,,CIENTO DOS,CIENTO DOS,13
31001646,CALLE,CALLECIENTO SEIS,,CIENTO SEIS,CIENTO SEIS,13
31001647,CALLE,CALLECIENTO SIETE,,CIENTO SIETE,CIENTO SIETE,13
31001643,CALLE,CALLECIENTO TRES,,CIENTO TRES,CIENTO TRES,13
31001641,CALLE,CALLECIENTO UNO,,CIENTO UNO,CIENTO UNO,13
169550,CALLE,CALLEDELCIERZO,DEL,CIERZO,CIERZO,21
169650,PLAZA,PLAZADECIEZA,DE,CIEZA,CIEZA,8
169700,CALLE,CALLEDECIFUENTES,DE,CIFUENTES,CIFUENTES,17
2590,CALLE,CALLEDE LASCIGARRERAS,DE LAS,CIGARRERAS,CIGARRERAS,2
169750,CALLE,CALLEDECIGOITIA,DE,CIGOITIA,CIGOITIA,20
169755,CALLE,CALLEDE LACIGÜEÑA,DE LA,CIGÜEÑA,CIGÜEÑA,11
31001789,CALLE,CALLEDELCILANTRO,DEL,CILANTRO,CILANTRO,19
169900,CALLE,CALLEDECIMARRA,DE,CIMARRA,CIMARRA,9
569901,CALLE,CALLEDELCINABRIO,DEL,CINABRIO,CINABRIO,9
170000,CALLE,CALLEDELCINCA,DEL,CINCA,CINCA,5
170100,CALLE,CALLEDE LOSCINCELADORES,DE LOS,CINCELADORES,CINCELADORES,20
170200,CALLE,CALLECINCO,,CINCO,CINCO,20
785,CALLE,CALLEDE LASCINCO LAGUNAS,DE LAS,CINCO LAGUNAS,CINCO LAGUNAS,9
785,CALLE,CALLEDE LASCINCO LAGUNAS,DE LAS,CINCO LAGUNAS,CINCO LAGUNAS,9
2208,CALLE,CALLECINCO MERCAMADRID,,CINCO MERCAMADRID,CINCO MERCAMADRID,18
31000634,CALLE,CALLEDECINCOVILLAS,DE,CINCOVILLAS,CINCOVILLAS,18
2169,CALLE,CALLECINCUENTA MERCAMADRID,,CINCUENTA MERCAMADRID,CINCUENTA MERCAMADRID,18
2171,CALLE,CALLECINCUENTA Y DOS MERCAMADRID,,CINCUENTA Y DOS MERCAMADRID,CINCUENTA Y DOS MERCAMADRID,18
31000321,CALLE,CALLEDELCINCUENTIN,DEL,CINCUENTIN,CINCUENTÍN,11
170800,CALLE,CALLEDELCINE,DEL,CINE,CINE,10
2241,PLAZA,PLAZADELCINE,DEL,CINE,CINE,13
2961,PLAZA,PLAZADELCINE PARIS,DEL,CINE PARIS,CINE PARÍS,13
170900,CALLE,CALLEDECINTRA,DE,CINTRA,CINTRA,11
171000,CALLE,CALLEDE LOSCIPRESES,DE LOS,CIPRESES,CIPRESES,5
171100,CALLE,CALLEDECIPRIANO SANCHO,DE,CIPRIANO SANCHO,CIPRIANO SANCHO,15
2807,CALLE,CALLEDECIRAUQUI,DE,CIRAUQUI,CIRAUQUI,8
171400,CALLE,CALLEDECIRCE,DE,CIRCE,CIRCE,20
2311,CALLE,CALLEDELCIRCON,DEL,CIRCON,CIRCÓN,2
2731,CALLE,CALLEDE LACIRCONITA,DE LA,CIRCONITA,CIRCONITA,2
171500,PLAZA,PLAZACIRCULAR,,CIRCULAR,CIRCULAR,5
1002,CALLE,CALLEDELCIRCULO,DEL,CIRCULO,CÍRCULO,17
171650,CARRETERA,CARRETERADECIRCUNVALACION DE IBERIA,DE,CIRCUNVALACION DE IBERIA,CIRCUNVALACIÓN DE IBERIA,8
171650,CARRETERA,CARRETERADECIRCUNVALACION DE IBERIA,DE,CIRCUNVALACION DE IBERIA,CIRCUNVALACIÓN DE IBERIA,21
31004081,GLORIETA,GLORIETADECIRILO MARTIN MARTIN,DE,CIRILO MARTIN MARTIN,CIRILO MARTÍN MARTÍN,9
31001402,CALLE,CALLEDECIRILO MARTINEZ NOVILLO,DE,CIRILO MARTINEZ NOVILLO,CIRILO MARTÍNEZ NOVILLO,18
171700,CALLE,CALLEDE LACIRUELA,DE LA,CIRUELA,CIRUELA,11
171750,CALLE,CALLEDELCISNE,DEL,CISNE,CISNE,9
959,CALLE,CALLEDE LACIUDAD DE AGUILAS,DE LA,CIUDAD DE AGUILAS,CIUDAD DE ÁGUILAS,14
171800,AVENIDA,AVENIDADE LACIUDAD DE BARCELONA,DE LA,CIUDAD DE BARCELONA,CIUDAD DE BARCELONA,2
171800,AVENIDA,AVENIDADE LACIUDAD DE BARCELONA,DE LA,CIUDAD DE BARCELONA,CIUDAD DE BARCELONA,3
171800,AVENIDA,AVENIDADE LACIUDAD DE BARCELONA,DE LA,CIUDAD DE BARCELONA,CIUDAD DE BARCELONA,3
171800,AVENIDA,AVENIDADE LACIUDAD DE BARCELONA,DE LA,CIUDAD DE BARCELONA,CIUDAD DE BARCELONA,3
2337,CALLE,CALLEDECIUDAD DE FRIAS,DE,CIUDAD DE FRIAS,CIUDAD DE FRÍAS,17
171850,PASEO,PASEODE LACIUDAD DE PLASENCIA,DE LA,CIUDAD DE PLASENCIA,CIUDAD DE PLASENCIA,1
172050,PLAZA,PLAZADE LACIUDAD DE SALTA,DE LA,CIUDAD DE SALTA,CIUDAD DE SALTA,15
172175,PLAZA,PLAZADE LACIUDAD DE VIENA,DE LA,CIUDAD DE VIENA,CIUDAD DE VIENA,9
2607,CALLE,CALLEDE LACIUDAD ENCANTADA,DE LA,CIUDAD ENCANTADA,CIUDAD ENCANTADA,14
2607,CALLE,CALLEDE LACIUDAD ENCANTADA,DE LA,CIUDAD ENCANTADA,CIUDAD ENCANTADA,14
31000163,PLAZA,PLAZADE LACIUDAD LINEAL,DE LA,CIUDAD LINEAL,CIUDAD LINEAL,15
171900,CALLE,CALLEDECIUDAD REAL,DE,CIUDAD REAL,CIUDAD REAL,2
172000,CALLE,CALLEDECIUDAD RODRIGO,DE,CIUDAD RODRIGO,CIUDAD RODRIGO,1
1081,CARRETERA,CARRETERADE LACIUDAD UNIVERSITARIA,DE LA,CIUDAD UNIVERSITARIA,CIUDAD UNIVERSITARIA,9
31000162,CALLE,CALLEDE LACIUDAD VIEJA DE CACERES,DE LA,CIUDAD VIEJA DE CACERES,CIUDAD VIEJA DE CÁCERES,11
995,CALLE,CALLEDE LACIUDADANIA,DE LA,CIUDADANIA,CIUDADANÍA,17
31001482,PLAZA,PLAZACIVICA,,CIVICA,CÍVICA,20
1957,CAMINO,CAMINODE LOSCIVILES,DE LOS,CIVILES,CIVILES,9
1957,CAMINO,CAMINODE LOSCIVILES,DE LOS,CIVILES,CIVILES,9
329000,CALLE,CALLEDECLARA CAMPOAMOR,DE,CLARA CAMPOAMOR,CLARA CAMPOAMOR,11
172300,CALLE,CALLEDECLARA DEL REY,DE,CLARA DEL REY,CLARA DEL REY,5
2695,CALLE,CALLEDECLARA SCHUMANN,DE,CLARA SCHUMANN,CLARA SCHUMANN,17
31000350,CALLE,CALLEDE LOSCLARINETES,DE LOS,CLARINETES,CLARINETES,10
172500,CALLE,CALLEDE LASCLARISAS,DE LAS,CLARISAS,CLARISAS,11
172600,CALLE,CALLEDECLAUDIO COELLO,DE,CLAUDIO COELLO,CLAUDIO COELLO,4
172600,CALLE,CALLEDECLAUDIO COELLO,DE,CLAUDIO COELLO,CLAUDIO COELLO,4
2644,CALLE,CALLEDECLAUDIO FERRERO FERRERO,DE,CLAUDIO FERRERO FERRERO,CLAUDIO FERRERO FERRERO,18
172700,CALLE,CALLEDECLAUDIO MOYANO,DE,CLAUDIO MOYANO,CLAUDIO MOYANO,3
13700,CALLE,CALLEDECLAUDIO SANCHEZ ALBORNOZ,DE,CLAUDIO SANCHEZ ALBORNOZ,CLAUDIO SÁNCHEZ ALBORNOZ,10
172800,CALLE,CALLEDELCLAVEL,DEL,CLAVEL,CLAVEL,1
172800,CALLE,CALLEDELCLAVEL,DEL,CLAVEL,CLAVEL,1
172800,CALLE,CALLEDELCLAVEL,DEL,CLAVEL,CLAVEL,1
172900,CALLE,CALLEDE LASCLAVELINAS,DE LAS,CLAVELINAS,CLAVELINAS,6
173000,CALLE,CALLEDECLAVIJO,DE,CLAVIJO,CLAVIJO,19
173100,CALLE,CALLEDECLAVILEÑO,DE,CLAVILEÑO,CLAVILEÑO,5
173300,CALLE,CALLEDECLEMENTE ALONSO,DE,CLEMENTE ALONSO,CLEMENTE ALONSO,11
173400,CALLE,CALLEDECLEMENTE FERNANDEZ,DE,CLEMENTE FERNANDEZ,CLEMENTE FERNÁNDEZ,10
2224,CALLE,CALLEDECLEOPATRA,DE,CLEOPATRA,CLEOPATRA,13
1710,CALLE,CALLEDE LACLIVIA,DE LA,CLIVIA,CLIVIA,11
905150,CARRETERA,CARRETERADELCLUB DE CAMPO,DEL,CLUB DE CAMPO,CLUB DE CAMPO,9
1008,CALLE,CALLEDE LACOALICION,DE LA,COALICION,COALICIÓN,17
173500,CALLE,CALLEDELCOBALTO,DEL,COBALTO,COBALTO,17
2296,CALLE,CALLEDECOBOS DE SEGOVIA,DE,COBOS DE SEGOVIA,COBOS DE SEGOVIA,2
173600,CALLE,CALLEDELCOBRE,DEL,COBRE,COBRE,2
173700,CALLE,CALLEDECOCA,DE,COCA,COCA,10
173800,CALLE,CALLEDECOCHABAMBA,DE,COCHABAMBA,COCHABAMBA,5
1158,CALLE,CALLEDE LASCOCHERAS,DE LAS,COCHERAS,COCHERAS,3
173900,CALLE,CALLEDELCOCHERON DE LA VILLA,DEL,COCHERON DE LA VILLA,COCHERÓN DE LA VILLA,13
174000,CALLE,CALLEDE LOSCOCHEROS,DE LOS,COCHEROS,COCHEROS,12
31001778,CALLE,CALLEDECOCO CHANEL,DE,COCO CHANEL,COCO CHANEL,19
173750,CALLE,CALLEDECOCUY,DE,COCUY,COCUY,16
174200,CALLE,CALLEDELCODO,DEL,CODO,CODO,1
174200,CALLE,CALLEDELCODO,DEL,CODO,CODO,5
174300,CALLE,CALLEDE LACODORNIZ,DE LA,CODORNIZ,CODORNIZ,11
31000609,CALLE,CALLEDECOGOLLUDO,DE,COGOLLUDO,COGOLLUDO,17
174700,PLAZA,PLAZADECOIMBRA,DE,COIMBRA,COIMBRA,11
174750,CALLE,CALLEDECOIN,DE,COIN,COÍN,13
174800,CALLE,CALLEDE LACOLEGIATA,DE LA,COLEGIATA,COLEGIATA,1
31000160,CALLE,CALLEDE LACOLEGIATA DE CERVATOS,DE LA,COLEGIATA DE CERVATOS,COLEGIATA DE CERVATOS,8
31000159,CALLE,CALLEDE LACOLEGIATA DE ELINES,DE LA,COLEGIATA DE ELINES,COLEGIATA DE ELINES,8
31000159,CALLE,CALLEDE LACOLEGIATA DE ELINES,DE LA,COLEGIATA DE ELINES,COLEGIATA DE ELINES,8
31000161,CALLE,CALLEDE LACOLEGIATA DE LEBEÑA,DE LA,COLEGIATA DE LEBEÑA,COLEGIATA DE LEBEÑA,8
31000155,CALLE,CALLEDE LACOLEGIATA DE SAR,DE LA,COLEGIATA DE SAR,COLEGIATA DE SAR,8
2474,PLAZA,PLAZADELCOLEGIO ATENEO POLITECNICO,DEL,COLEGIO ATENEO POLITECNICO,COLEGIO ATENEO POLITÉCNICO,5
175000,CALLE,CALLEDE LACOLINA,DE LA,COLINA,COLINA,9
175100,CALLE,CALLEDECOLINDRES,DE,COLINDRES,COLINDRES,8
175200,CALLE,CALLEDE LOSCOLIOS,DE LOS,COLIOS,COLIOS,16
1420,CALLE,CALLEDELCOLLADO ALBO,DEL,COLLADO ALBO,COLLADO ALBO,8
1420,CALLE,CALLEDELCOLLADO ALBO,DEL,COLLADO ALBO,COLLADO ALBO,8
175300,CALLE,CALLEDELCOLLADO BAJO,DEL,COLLADO BAJO,COLLADO BAJO,13
1417,CALLE,CALLEDELCOLLADO DE CERRO MALEJO,DEL,COLLADO DE CERRO MALEJO,COLLADO DE CERRO MALEJO,8
1416,CALLE,CALLEDELCOLLADO DE LA MINA,DEL,COLLADO DE LA MINA,COLLADO DE LA MINA,8
175500,CALLE,CALLEDELCOLLADO DE LAS VERTIENTES,DEL,COLLADO DE LAS VERTIENTES,COLLADO DE LAS VERTIENTES,13
1418,CALLE,CALLEDELCOLLADO DE MARICHIVA,DEL,COLLADO DE MARICHIVA,COLLADO DE MARICHIVA,8
1421,CALLE,CALLEDELCOLLADO DE TIROBARRA,DEL,COLLADO DE TIROBARRA,COLLADO DE TIROBARRA,8
1415,CALLE,CALLEDELCOLLADO DEL HORNILLO,DEL,COLLADO DEL HORNILLO,COLLADO DEL HORNILLO,8
1419,CALLE,CALLEDELCOLLADO DEL MOSTAJO,DEL,COLLADO DEL MOSTAJO,COLLADO DEL MOSTAJO,8
2693,CALLE,CALLEDELCOLLADO DEL PIORNAL,DEL,COLLADO DEL PIORNAL,COLLADO DEL PIORNAL,8
175600,CALLE,CALLEDELCOLLADO DEL VIENTO,DEL,COLLADO DEL VIENTO,COLLADO DEL VIENTO,8
175400,CALLE,CALLEDECOLLADO MEDIANO,DE,COLLADO MEDIANO,COLLADO MEDIANO,8
175800,CALLE,CALLEDE LOSCOLLADOS,DE LOS,COLLADOS,COLLADOS,15
175800,CALLE,CALLEDE LOSCOLLADOS,DE LOS,COLLADOS,COLLADOS,15
176000,CALLE,CALLEDECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,18
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,5
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,8
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,8
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,8
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,8
176100,CARRETERA,CARRETERADECOLMENAR VIEJO,DE,COLMENAR VIEJO,COLMENAR VIEJO,8
176200,CALLE,CALLEDECOLMENAREJO,DE,COLMENAREJO,COLMENAREJO,9
176400,CALLE,CALLEDECOLMENARES,DE,COLMENARES,COLMENARES,1
176500,CALLE,CALLEDECOLOMBIA,DE,COLOMBIA,COLOMBIA,5
2108,PASEO,PASEODECOLOMBIA,DE,COLOMBIA,COLOMBIA,3
176600,CALLE,CALLEDECOLOMER,DE,COLOMER,COLOMER,4
176700,CALLE,CALLEDECOLON,DE,COLON,COLÓN,1
176800,PLAZA,PLAZADECOLON,DE,COLON,COLÓN,1
176800,PLAZA,PLAZADECOLON,DE,COLON,COLÓN,4
176800,PLAZA,PLAZADECOLON,DE,COLON,COLÓN,7
200500,CALLE,CALLEDE LOSCOLORANTES,DE LOS,COLORANTES,COLORANTES,20
200600,CALLE,CALLEDE LOSCOLOREROS,DE LOS,COLOREROS,COLOREROS,1
200650,CALLE,CALLEDECOLUMBA,DE,COLUMBA,COLUMBA,19
200710,CALLE,CALLEDECOLUMELA,DE,COLUMELA,COLUMELA,4
31001618,PLAZA,PLAZADE LASCOLUMNAS,DE LAS,COLUMNAS,COLUMNAS,9
200900,CALLE,CALLEDELCOMANDANTE AZCARRAGA,DEL,COMANDANTE AZCARRAGA,COMANDANTE AZCÁRRAGA,5
201000,CALLE,CALLEDELCOMANDANTE BENITEZ,DEL,COMANDANTE BENITEZ,COMANDANTE BENÍTEZ,2
201200,CALLE,CALLEDELCOMANDANTE FONTANES,DEL,COMANDANTE FONTANES,COMANDANTE FONTANES,11
201300,PASEO,PASEODELCOMANDANTE FORTEA,DEL,COMANDANTE FORTEA,COMANDANTE FORTEA,9
