res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"AEROQUIMERA, S.L",B86695707,CMNO,ROBLEDO CHAVELA,Valdemorillo,28210,RESTOS ANATÓMICOS Y ÓRGANOS INCLUYENDO BOLSAS Y BANCOS DE SANGRE (EXCEPTO LOSA DEL CÓDIGO 18 01 03).
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"RESIDUOSYA, S.L.",B86696994,CALLE,HIERRO,Campo Real,28510,LÍQUIDOS DE LIMPIEZA Y LICORES MADRE ACUOSOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"RECICLAJES VICALVARO 2011, S.L.",B86727344,AVDA,VICALVARO,Coslada,28820,ENVASES DE MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"SOLUCIONES LOGISTICAS Y TRANSPORTES DOX, S.L.",B86727872,CALLE,DE RUPERTO CHAPÍ,Colmenar Viejo,28770,EQUIPOS DESECHADOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 16 02 09 A 16 02 13.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"CREMATORIO EL ULTIMO PASEO, S.L.",B86753829,CALLE,MORERAS,Ciempozuelos,28350,RESIDUOS DE TEJIDOS DE ANIMALES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOGISTICA MARTIFER, S.L.",B86757820,CALLE,ESTAÑO,Torrejón de Ardoz,28850,RESIDUOS DE PLÁSTICOS (EXCEPTO EMBALAJES).
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"AYUSO JUVERA, S.L.",B86766599,CTRA,PUENTE VILLARUBIA,Villaconejos,28360,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ACCIONA AGUA SERVICIOS, S.L.U.",B86774528,AVDA,DE EUROPA,Alcobendas,28108,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"MOVIMIENTOS DE TIERRA ERCON, S.L.",B86775244,AVDA,DE LA REINA VICTORIA,Madrid,28003,RESIDUOS DE GRAVA Y ROCAS TRITURADAS DISTINTOS DE LOS MENCIONADOS EN EL CÓDIGO 01 04 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES FUENTENAVA, S.L.",B86793015,CALLE,DE SANTIAGO,Coslada,28822,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"OMETRADIS,S.L.",B86794245,CALLE,DE LOS PICADEROS,Torres de la Alameda,28813,TEJAS Y MATERIALES CERÁMICOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"REFORMAS Y ALBAÑILERIA MONALSA, S.L.",B86796463,CALLE,DE SAN ANTONIO,Ciempozuelos,28350,HORMIGÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"UNIBASA GENERAL SERVICES, S.L.",B86808524,TRVA,DE LA LAGUNA,Fuenlabrada,28942,BALASTO DE VÍAS FÉRREAS DISTINTO DEL ESPECIFICADO EN EL CÓDIGO 17 05 07.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ARENAS 2013, S.L.",B86819513,CTRA,VALENCIA,Madrid,28051,LODOS DE DESTINTADO PROCEDENTES DEL RECICLADO DE PAPEL.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ARIVATRANS, S.L.",B86831781,CALLE,DE VICENTE ALEIXANDRE,Rivas-Vaciamadrid,28523,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"ALVEPECOL, S.L.",B86834272,CALLE,CAVA,Colmenar de Oreja,28380,RESIDUOS DE LA EXTRACCIÓN DE MINERALES NO METÁLICOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,RECICLADOS CIEMPOZUELOS 2013 S.L.,B86838182,CALLE,FUENTEBELLA,Parla,28980,"COBRE, BRONCE Y LATÓN."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"LOGISTICA AGROALIMENTARIA MANCHEGA, S.L.",B86856044,AVDA,DE MANOTERAS,Madrid,28050,LODOS DEL TRATAMIENTO IN SITU DE EFLUENTES.
