Centro_codigo,Actividad_extraexcolar_codigo,Actividad_extraexcolar_descrip
28019889,189,ESCUELA DEPORTIVA: TENIS DE MESA
28019889,186,ESCUELA DEPORTIVA: LUCHA
28019889,165,ESCUELA DEPORTIVA: BALONCESTO
28019889,030,PROGRAMA REFUERZA
28019889,150,PROGRAMA 4ºESO+EMPRESA
28019889,184,ESCUELA DEPORTIVA: VOLEIBOL
28020028,150,PROGRAMA 4ºESO+EMPRESA
28020107,150,PROGRAMA 4ºESO+EMPRESA
28020119,184,ESCUELA DEPORTIVA: VOLEIBOL
28020119,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020119,030,PROGRAMA REFUERZA
28020119,150,PROGRAMA 4ºESO+EMPRESA
28020201,189,ESCUELA DEPORTIVA: TENIS DE MESA
28020201,186,ESCUELA DEPORTIVA: LUCHA
28020201,165,ESCUELA DEPORTIVA: BALONCESTO
28020201,030,PROGRAMA REFUERZA
28020201,150,PROGRAMA 4ºESO+EMPRESA
28020201,161,ESCUELA DEPORTIVA: AJEDREZ
28020201,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020235,150,PROGRAMA 4ºESO+EMPRESA
28020545,150,PROGRAMA 4ºESO+EMPRESA
28020545,030,PROGRAMA REFUERZA
28020557,186,ESCUELA DEPORTIVA: LUCHA
28020557,184,ESCUELA DEPORTIVA: VOLEIBOL
28020557,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020557,150,PROGRAMA 4ºESO+EMPRESA
28020557,030,PROGRAMA REFUERZA
28020582,150,PROGRAMA 4ºESO+EMPRESA
28020582,030,PROGRAMA REFUERZA
28020648,150,PROGRAMA 4ºESO+EMPRESA
28020648,030,PROGRAMA REFUERZA
28020673,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28020703,184,ESCUELA DEPORTIVA: VOLEIBOL
28020703,030,PROGRAMA REFUERZA
28020703,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020703,150,PROGRAMA 4ºESO+EMPRESA
28020727,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020727,165,ESCUELA DEPORTIVA: BALONCESTO
28020727,150,PROGRAMA 4ºESO+EMPRESA
28020727,030,PROGRAMA REFUERZA
28020739,184,ESCUELA DEPORTIVA: VOLEIBOL
28020739,030,PROGRAMA REFUERZA
28020739,177,ESCUELA DEPORTIVA: JUDO
28020739,173,ESCUELA DEPORTIVA: FUTBOL SALA
28020806,150,PROGRAMA 4ºESO+EMPRESA
28020806,030,PROGRAMA REFUERZA
28020855,150,PROGRAMA 4ºESO+EMPRESA
28020855,030,PROGRAMA REFUERZA
28020892,184,ESCUELA DEPORTIVA: VOLEIBOL
28020892,182,ESCUELA DEPORTIVA: TAEKWONDO
28020892,174,ESCUELA DEPORTIVA: GIMNASIA
28020892,030,PROGRAMA REFUERZA
28020892,161,ESCUELA DEPORTIVA: AJEDREZ
28020892,166,ESCUELA DEPORTIVA: BADMINTON
28020892,176,ESCUELA DEPORTIVA: HOCKEY
28020909,150,PROGRAMA 4ºESO+EMPRESA
28020909,030,PROGRAMA REFUERZA
28020934,150,PROGRAMA 4ºESO+EMPRESA
28020934,030,PROGRAMA REFUERZA
28020946,189,ESCUELA DEPORTIVA: TENIS DE MESA
28020946,184,ESCUELA DEPORTIVA: VOLEIBOL
28020946,150,PROGRAMA 4ºESO+EMPRESA
28020946,165,ESCUELA DEPORTIVA: BALONCESTO
28020946,030,PROGRAMA REFUERZA
28020958,030,PROGRAMA REFUERZA
28020961,150,PROGRAMA 4ºESO+EMPRESA
28020961,030,PROGRAMA REFUERZA
28021008,186,ESCUELA DEPORTIVA: LUCHA
28021008,030,PROGRAMA REFUERZA
28021008,150,PROGRAMA 4ºESO+EMPRESA
28021008,184,ESCUELA DEPORTIVA: VOLEIBOL
