municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Anchuelo;2020/06/30 09:00:00;;78,68;9;708,1;0127
Los Molinos;2020/06/30 09:00:00;;22,78;56;1275,92;0875
Soto del Real;2020/06/30 09:00:00;;0;77;875,1;1441
Valverde de Alcalá;2020/06/30 09:00:00;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/06/30 09:00:00;;29,87;41;612,31;0590
Horcajo de la Sierra-Aoslos;2020/06/30 09:00:00;;0;;2758,62;0702
Valdeolmos-Alalpardo;2020/06/30 09:00:00;;0;11;265,96;1625
Campo Real;2020/06/30 09:00:00;;16,1;32;515,3;0339
Valdeavero;2020/06/30 09:00:00;;0;10;643,5;1564
Villamanrique de Tajo;2020/06/30 09:00:00;;0;;568,99;1739
Cobeña;2020/06/30 09:00:00;;13,46;88;1184,71;0416
Fresnedillas de la Oliva;2020/06/30 09:00:00;;0;9;572,52;0565
Valdilecha;2020/06/30 09:00:00;;0;21;715,99;1659
El Berrueco;2020/06/30 09:00:00;;526,32;12;1578,95;0210
Pezuela de las Torres;2020/06/30 09:00:00;;0;;237,53;1111
Villar del Olmo;2020/06/30 09:00:00;;0;7;348,09;1795
Guadarrama;2020/06/30 09:00:00;;6,24;237;1478,29;0685
San Martín de Valdeiglesias;2020/06/30 09:00:00;;11,82;101;1193,99;1338
Torrelodones;2020/06/30 09:00:00;;4,22;363;1530,55;1527
Boadilla del Monte;2020/06/30 09:00:00;;3,67;399;731,17;0225
Torrejón de Velasco;2020/06/30 09:00:00;;22,82;24;547,7;1505
Villanueva de Perales;2020/06/30 09:00:00;;0;;319,9;1782
Tielmes;2020/06/30 09:00:00;;37,74;37;1396,23;1467
San Sebastián de los Reyes;2020/06/30 09:00:00;7;7,84;625;700,08;1343
Guadalix de la Sierra;2020/06/30 09:00:00;;0;52;836,82;0679
Humanes de Madrid;2020/06/30 09:00:00;;15,2;143;724,31;0730
Chinchón;2020/06/30 09:00:00;;18,76;32;600,26;0528
Cadalso de los Vidrios;2020/06/30 09:00:00;;0;15;493,58;0318
Hoyo de Manzanares;2020/06/30 09:00:00;;0;44;521,7;0724
Torrejón de la Calzada;2020/06/30 09:00:00;;0;41;462,13;1492
Estremera;2020/06/30 09:00:00;;0;10;793,65;0552
Corpa;2020/06/30 09:00:00;;0;6;841,51;0480
Meco;2020/06/30 09:00:00;;6,99;145;1013,63;0838
Madarcos;2020/06/30 09:00:00;;0;;0;0783
Zarzalejo;2020/06/30 09:00:00;;0;43;2593,49;1837
Arganda del Rey;2020/06/30 09:00:00;;3,61;377;680,64;0148
Collado Mediano;2020/06/30 09:00:00;;0;33;474,27;0468
Daganzo de Arriba;2020/06/30 09:00:00;;0;44;431,16;0534
Manzanares El Real;2020/06/30 09:00:00;;0;48;542,99;0822
Buitrago del Lozoya;2020/06/30 09:00:00;;53,08;17;902,34;0278
Valdelaguna;2020/06/30 09:00:00;;0;;106,72;1570
Valdepiélagos;2020/06/30 09:00:00;;0;;0;1631
Casarrubuelos;2020/06/30 09:00:00;;0;11;291,16;0360
Miraflores de la Sierra;2020/06/30 09:00:00;;0;39;638,51;0856
Paracuellos de Jarama;2020/06/30 09:00:00;;7,91;84;332,42;1049
El Vellón;2020/06/30 09:00:00;;0;14;715,02;1684
Lozoya;2020/06/30 09:00:00;;0;;172,12;0761
Collado Villalba;2020/06/30 09:00:00;;7,85;571;896,68;0474
Colmenarejo;2020/06/30 09:00:00;;21,91;51;558,6;0442
Villavieja del Lozoya;2020/06/30 09:00:00;;0;;0;1821
Prádena del Rincón;2020/06/30 09:00:00;;0;;0;1179
La Cabrera;2020/06/30 09:00:00;;0;12;449,94;0301
Sevilla la Nueva;2020/06/30 09:00:00;;32,2;159;1706,37;1415
La Acebeda;2020/06/30 09:00:00;;0;;0;0014
Redueña;2020/06/30 09:00:00;;0;;769,23;1219
Robledillo de la Jara;2020/06/30 09:00:00;;0;;1250;1245
La Serna del Monte;2020/06/30 09:00:00;;0;;0;1381
Colmenar de Oreja;2020/06/30 09:00:00;;0;28;348,61;0437
Rozas de Puerto Real;2020/06/30 09:00:00;;0;;943,4;1283
Valdemanco;2020/06/30 09:00:00;;0;;218,82;1586
Brunete;2020/06/30 09:00:00;;9,31;119;1108,42;0262
Titulcia;2020/06/30 09:00:00;;0;10;761,61;1473
Villa del Prado;2020/06/30 09:00:00;;15,34;136;2085,89;1718
Lozoyuela-Navas-Sieteiglesias;2020/06/30 09:00:00;;76,98;;307,93;9015
Quijorna;2020/06/30 09:00:00;;0;35;1017,74;1198
Valdemoro;2020/06/30 09:00:00;12;15,79;894;1176,58;1610
Tres Cantos;2020/06/30 09:00:00;;4,19;453;949,25;9036
Torrelaguna;2020/06/30 09:00:00;;21,01;27;567,23;1512
Rivas-Vaciamadrid;2020/06/30 09:00:00;9;10,21;627;711,29;1230
El Atazar;2020/06/30 09:00:00;;0;;0;0164
Pedrezuela;2020/06/30 09:00:00;;0;36;611;1087
Santa María de la Alameda;2020/06/30 09:00:00;;0;7;558,21;1356
Horcajuelo de la Sierra;2020/06/30 09:00:00;;0;;0;0719
Arroyomolinos;2020/06/30 09:00:00;;3,19;199;633,84;0151
Moralzarzal;2020/06/30 09:00:00;;7,68;81;621,83;0908
Canencia;2020/06/30 09:00:00;;0;;671,14;0344
Villarejo de Salvanés;2020/06/30 09:00:00;;13,63;44;599,86;1809
Serranillos del Valle;2020/06/30 09:00:00;;0;39;936,37;1408
Villaviciosa de Odón;2020/06/30 09:00:00;;14,37;235;844,26;1816
Camarma de Esteruelas;2020/06/30 09:00:00;;0;46;627,04;0323
Robledo de Chavela;2020/06/30 09:00:00;;0;30;702,58;1258
Patones;2020/06/30 09:00:00;;184,84;16;2957,49;1071
Navalagamella;2020/06/30 09:00:00;;0;8;306,51;0954
Rascafría;2020/06/30 09:00:00;;0;6;360,58;1202
El Boalo;2020/06/30 09:00:00;;0;46;612,68;0231
Majadahonda;2020/06/30 09:00:00;6;8,35;638;888,26;0800
Batres;2020/06/30 09:00:00;;0;10;593,82;0170
Alcobendas;2020/06/30 09:00:00;13;11,11;889;759,57;0066
Alcalá de Henares;2020/06/30 09:00:00;12;6,13;2517;1286,49;0053
Colmenar Viejo;2020/06/30 09:00:00;;7,88;507;998,98;0455
San Fernando de Henares;2020/06/30 09:00:00;;10,14;447;1133,6;1300
Villalbilla;2020/06/30 09:00:00;;7,21;94;677,33;1723
El Escorial;2020/06/30 09:00:00;;6,19;147;909,54;0549
Colmenar del Arroyo;2020/06/30 09:00:00;;0;52;3014,49;0421
