OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
31,4,337772,072,7b,1,1,289,,779,5,TI,I,LA RAMBLA,28,049,COSLADA,B1,Calle   Honduras N 2,20080214,20080207,,1110.1125,33.38,4,93_252,,,4__7_B____1_IT_1_4_289__779_TI_I_5,,,,4__7_B__,4__7_B____1_IT_1,4_289,4_289_,4_289_779
32,4,337773,072,7b,2,1,289,,780,4,TI,I,LA RAMBLA,28,049,COSLADA,B1,Calle   Honduras N 2,20080214,20080207,,1350.387,33.38,4,93_252,,,4__7_B____2_IT_1_4_289__780_TI_I_4,,,,4__7_B__,4__7_B____2_IT_1,4_289,4_289_,4_289_780
33,4,337772,072,7b,1,1,296,,1000,1,TI,C,HOSPITAL DEL HENARES,28,049,COSLADA,B1,Cmno del Tiro N SN,20080214,20080207,,0,0,4,92_232,,,4__7_B____1_IT_1_4_296__1000_TI_C_1,,,,4__7_B__,4__7_B____1_IT_1,4_296,4_296_,4_296_1000
34,4,337773,072,7b,2,1,296,,1001,8,TI,C,HOSPITAL DEL HENARES,28,049,COSLADA,B1,Cmno del Tiro N SN,20080214,20080207,,690.8617,33.38,4,92_232,,,4__7_B____2_IT_1_4_296__1001_TI_C_8,,,,4__7_B__,4__7_B____2_IT_1,4_296,4_296_,4_296_1001
35,4,332069,121,12-1,1,1,218,,453,10,TI,I,LORANCA,28,058,FUENLABRADA,B2,Calle de la Alegría N 4,20030613,20030411,,2902.405,40.53,4,93_260,,,4__12_1____1_IT_1_4_218__453_TI_I_10,,,,4__12_1__,4__12_1____1_IT_1,4_218,4_218_,4_218_453
36,4,332070,122,12-2,1,1,218,,454,20,TI,I,LORANCA,28,058,FUENLABRADA,B2,Calle de la Alegría N 4,20030613,20030411,,2277.269,40.59,4,93_260,,,4__12_2____1_IT_1_4_218__454_TI_I_20,,,,4__12_2__,4__12_2____1_IT_1,4_218,4_218_,4_218_454
37,4,332069,121,12-1,1,1,219,,455,11,TI,I,HOSPITAL DE FUENLABRADA,28,058,FUENLABRADA,B2,Cmno del Molino N 3,20030613,20030411,,2277.737,40.53,4,92_230,,,4__12_1____1_IT_1_4_219__455_TI_I_11,,,,4__12_1__,4__12_1____1_IT_1,4_219,4_219_,4_219_455
38,4,332070,122,12-2,1,1,219,,456,19,TI,I,HOSPITAL DE FUENLABRADA,28,058,FUENLABRADA,B2,Cmno del Molino N 3,20030613,20030411,,720.332,40.59,4,92_230,,,4__12_2____1_IT_1_4_219__456_TI_I_19,,,,4__12_2__,4__12_2____1_IT_1,4_219,4_219_,4_219_456
39,4,332069,121,12-1,1,1,220,,457,12,TI,I,PARQUE EUROPA,28,058,FUENLABRADA,B2,Calle de Francia N 34,20030613,20030411,,719.981,40.53,4,93_292,,,4__12_1____1_IT_1_4_220__457_TI_I_12,,,,4__12_1__,4__12_1____1_IT_1,4_220,4_220_,4_220_457
40,4,332070,122,12-2,1,1,220,,458,18,TI,I,PARQUE EUROPA,28,058,FUENLABRADA,B2,Calle de Francia N 34,20030613,20030411,,875.905,40.59,4,93_292,,,4__12_2____1_IT_1_4_220__458_TI_I_18,,,,4__12_2__,4__12_2____1_IT_1,4_220,4_220_,4_220_458
41,4,332069,121,12-1,1,1,221,,459,13,TI,I,FUENLABRADA CENTRAL,28,058,FUENLABRADA,B2,Calle de la Vía SN SN,20030613,20030411,,877.74,40.53,4,92_91,,,4__12_1____1_IT_1_4_221__459_TI_I_13,,,,4__12_1__,4__12_1____1_IT_1,4_221,4_221_,4_221_459
42,4,332070,122,12-2,1,1,221,,460,17,TI,I,FUENLABRADA CENTRAL,28,058,FUENLABRADA,B2,Calle de la Vía SN SN,20030613,20030411,,1303.514,40.59,4,92_91,,,4__12_2____1_IT_1_4_221__460_TI_I_17,,,,4__12_2__,4__12_2____1_IT_1,4_221,4_221_,4_221_460
43,4,332069,121,12-1,1,1,222,,461,14,TI,I,PARQUE DE LOS ESTADOS,28,058,FUENLABRADA,B2,Calle de Venezuela N 2,20030613,20030411,,1300.089,40.53,4,93_290,,,4__12_1____1_IT_1_4_222__461_TI_I_14,,,,4__12_1__,4__12_1____1_IT_1,4_222,4_222_,4_222_461
44,4,332070,122,12-2,1,1,222,,462,16,TI,I,PARQUE DE LOS ESTADOS,28,058,FUENLABRADA,B2,Calle de Venezuela N 2,20030613,20030411,,2720.007,40.59,4,93_290,,,4__12_2____1_IT_1_4_222__462_TI_I_16,,,,4__12_2__,4__12_2____1_IT_1,4_222,4_222_,4_222_462
45,4,332069,121,12-1,1,1,223,,463,15,TI,I,ARROYO CULEBRO,28,065,GETAFE,B1,Paseo de Juan José Rosón N 1,20030613,20030411,,2719.907,40.53,4,93_142,,,4__12_1____1_IT_1_4_223__463_TI_I_15,,,,4__12_1__,4__12_1____1_IT_1,4_223,4_223_,4_223_463
46,4,332070,122,12-2,1,1,223,,464,15,TI,I,ARROYO CULEBRO,28,065,GETAFE,B1,Paseo de Juan José Rosón N 1,20030613,20030411,,954.156,40.59,4,93_142,,,4__12_2____1_IT_1_4_223__464_TI_I_15,,,,4__12_2__,4__12_2____1_IT_1,4_223,4_223_,4_223_464
47,4,332069,121,12-1,1,1,224,,465,16,TI,I,CONSERVATORIO,28,065,GETAFE,B1,Avda de las Arcas del Agua N 5,20030613,20030411,,950.642,40.53,4,93_177,,,4__12_1____1_IT_1_4_224__465_TI_I_16,,,,4__12_1__,4__12_1____1_IT_1,4_224,4_224_,4_224_465
